device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
8021706421,606745350100,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-7.8385467529296875, -115.18643188476562, 837.8175048828125)","(0.5098109245300293, 0.7409302592277527, 0.8914698362350464)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619176
8021717524,606745361228,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-6.60811185836792, -114.60617065429688, 837.896484375)","(0.5077118873596191, 0.7396188974380493, 0.8914476037025452)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619187
8021728627,606745372350,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-7.620163440704346, -114.15571594238281, 837.9457397460938)","(0.5094219446182251, 0.7385637164115906, 0.8914403319358826)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619198
8021739730,606745383453,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-8.53787612915039, -113.1349868774414, 838.0999145507812)","(0.5109608173370361, 0.7361888289451599, 0.8914890289306641)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619209
8021750833,606745394555,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-9.846283912658691, -114.9787826538086, 837.8231811523438)","(0.513215959072113, 0.7404170036315918, 0.8914665579795837)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619220
8021761936,606745405657,"(0.06943153589963913, 0.1661520004272461)","(-158.28382873535156, 178.8920135498047, 57.06538772583008)",1,3.9433135986328125,1,"(-10.13596248626709, -114.21749114990234, 837.92822265625)","(0.5136935114860535, 0.7386564612388611, 0.8914752006530762)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619232,0.06943153589963913,0.1661520004272461
8021773039,606745416759,"(0.056489039212465286, 0.14840875566005707)","(-163.041748046875, 182.33978271484375, 58.3203010559082)",1,3.9443817138671875,1,"(-9.502589225769043, -114.7106704711914, 837.8698120117188)","(0.512627363204956, 0.7398031949996948, 0.8914783000946045)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619265,0.056489039212465286,0.14840875566005707
8021784142,606745427861,"(0.047886282205581665, 0.14068394899368286)","(-166.20428466796875, 183.8408203125, 58.866641998291016)",1,3.9535980224609375,1,"(-11.820517539978027, -113.6277847290039, 841.971923828125)","(0.5164389610290527, 0.7360544204711914, 0.8993736505508423)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619266,0.047886282205581665,0.14068394899368286
8021795246,606745438969,"(0.03888721764087677, 0.12232500314712524)","(-169.5124969482422, 187.40823364257812, 60.165130615234375)",1,3.95135498046875,1,"(-12.34552001953125, -113.82076263427734, 844.798583984375)","(0.5172531008720398, 0.735621452331543, 0.9050422310829163)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619266,0.03888721764087677,0.12232500314712524
8021806349,606745450076,"(0.038059089332818985, 0.12517887353897095)","(-169.8169403076172, 186.85369873046875, 59.96329116821289)",1,3.9688720703125,1,"(-12.662931442260742, -113.50330352783203, 842.8888549804688)","(0.5178349018096924, 0.7354791164398193, 0.9011818766593933)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706195619280,0.038059089332818985,0.12517887353897095
