device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
4420219250,603143833287,"(0.19648650288581848, 0.9929854273796082)","(-111.57606506347656, 18.226016998291016, -1.4121581315994263)",1,4.7305145263671875,1,"(-74.38102722167969, -97.32766723632812, 821.6319580078125)","(0.6250236630439758, 0.7034497857093811, 0.8614262938499451)",1,"(0.23328706622123718, 0.9952220320701599)","(-98.0474853515625, 17.79139518737793, -1.5703675746917725)",1,4.1439971923828125,1,"(-18.021337509155273, -101.0851821899414, 825.27978515625)","(0.5273683071136475, 0.7122859358787537, 0.8632855415344238)",1,1706192017661,0.21,0.99
4420230353,603143844390,"(0.1969328075647354, 0.9835586547851562)","(-111.41199493408203, 20.057802200317383, -0.7454325556755066)",1,4.7201080322265625,1,"(-74.46222686767578, -97.34746551513672, 821.6417846679688)","(0.6251628994941711, 0.7034910917282104, 0.8614648580551147)",1,"(0.23313169181346893, 0.9896026253700256)","(-98.10462188720703, 18.88337516784668, -1.1729227304458618)",1,4.1552886962890625,1,"(-18.098037719726562, -101.1091537475586, 825.2958374023438)","(0.5275002121925354, 0.7123348116874695, 0.8633266687393188)",1,1706192017673,0.22,0.99
4420241456,603143855493,"(0.20664599537849426, 0.9762140512466431)","(-107.84125518798828, 21.484968185424805, -0.22599460184574127)",1,4.718109130859375,1,"(-74.52869415283203, -97.3974838256836, 822.31982421875)","(0.6251711249351501, 0.7034210562705994, 0.8628296852111816)",1,"(0.24914327263832092, 0.9872041940689087)","(-92.21845245361328, 19.34940528869629, -1.0032944679260254)",1,4.1663665771484375,1,"(-18.10845184326172, -101.16481018066406, 825.9776611328125)","(0.5274919867515564, 0.712270975112915, 0.864693820476532)",1,1706192017683,0.23,0.98
4420252559,603143866596,"(0.27839329838752747, 0.9319597482681274)","(-81.46561431884766, 30.084232330322266, 2.903878688812256)",1,4.759674072265625,1,"(-74.26695251464844, -97.26607513427734, 821.464599609375)","(0.6248517036437988, 0.7033554911613464, 0.8610603213310242)",1,"(0.3351759910583496, 0.9548664689064026)","(-60.591224670410156, 25.633092880249023, 1.2838057279586792)",1,4.164764404296875,1,"(-17.90270233154297, -101.03694152832031, 825.1068115234375)","(0.5271698236465454, 0.712226152420044, 0.8629254102706909)",1,1706192017695,0.31,0.94
4420263662,603143877699,"(0.2981754243373871, 0.9271759986877441)","(-74.19334411621094, 31.013790130615234, 3.242210865020752)",1,4.7668914794921875,1,"(-74.27400207519531, -97.30206298828125, 821.8777465820312)","(0.6247990727424622, 0.7033263444900513, 0.8618872165679932)",1,"(0.3630754351615906, 0.9525258541107178)","(-50.33486557006836, 26.087894439697266, 1.449342131614685)",1,4.157135009765625,1,"(-17.86250877380371, -101.08370971679688, 825.5211791992188)","(0.5270850658416748, 0.7122181057929993, 0.8637574315071106)",1,1706192017706,0.33,0.94
4420274765,603143888802,"(0.3152397871017456, 0.918546199798584)","(-67.92015838623047, 32.69068908691406, 3.852527618408203)",1,4.7708587646484375,1,"(-74.20460510253906, -97.17423248291016, 820.6691284179688)","(0.6248683333396912, 0.7033607363700867, 0.8594540953636169)",1,"(0.3730379343032837, 0.943573534488678)","(-46.6724739074707, 27.82746696472168, 2.082477331161499)",1,4.15667724609375,1,"(-17.87738609313965, -100.94965362548828, 824.3098754882812)","(0.5271561741828918, 0.7122499942779541, 0.8613213896751404)",1,1706192017717,0.34,0.93
4420285869,603143899906,"(0.3406509757041931, 0.9264448881149292)","(-58.57853698730469, 31.155860900878906, 3.2939095497131348)",1,4.7535247802734375,1,"(-74.45745086669922, -97.17662811279297, 820.547607421875)","(0.6253259181976318, 0.7033938765525818, 0.8592596650123596)",1,"(0.3861880600452423, 0.9458232522010803)","(-41.83823013305664, 27.390329360961914, 1.9233698844909668)",1,4.124969482421875,1,"(-18.129953384399414, -100.93754577636719, 824.20458984375)","(0.5275959968566895, 0.7122464179992676, 0.861120343208313)",1,1706192017728,0.36,0.94
4420296972,603143911009,"(0.34645506739616394, 0.9267128705978394)","(-56.44483947753906, 31.103771209716797, 3.2749314308166504)",1,4.761566162109375,1,"(-74.60851287841797, -97.18350982666016, 820.6028442382812)","(0.6255790591239929, 0.7033915519714355, 0.8593975901603699)",1,"(0.38524335622787476, 0.9421921372413635)","(-42.185516357421875, 28.095914840698242, 2.1801891326904297)",1,4.12890625,1,"(-18.270254135131836, -100.94535064697266, 824.2704467773438)","(0.5278356075286865, 0.7122429013252258, 0.8612591624259949)",1,1706192017772,0.37,0.93
4420308075,603143922112,"(0.3468334972858429, 0.927885115146637)","(-56.30571746826172, 30.876001358032227, 3.1920552253723145)",1,4.7634124755859375,1,"(-74.77110290527344, -97.17583465576172, 820.521728515625)","(0.6258737444877625, 0.7033924460411072, 0.8592646718025208)",1,"(0.3872876763343811, 0.9422805905342102)","(-41.433990478515625, 28.078731536865234, 2.173953056335449)",1,4.1233062744140625,1,"(-18.428260803222656, -100.93488311767578, 824.2005615234375)","(0.528110921382904, 0.712235152721405, 0.8611249923706055)",1,1706192017772,0.37,0.94
4420319178,603143933215,"(0.3490869104862213, 0.929343581199646)","(-55.47731018066406, 30.592592239379883, 3.088872194290161)",1,4.7640228271484375,1,"(-74.93190002441406, -97.17082214355469, 820.563720703125)","(0.6261456608772278, 0.7033659815788269, 0.8593755960464478)",1,"(0.38446274399757385, 0.9414584636688232)","(-42.472503662109375, 28.23847198486328, 2.232034683227539)",1,4.1313934326171875,1,"(-18.57624053955078, -100.92658233642578, 824.2532958984375)","(0.5283640027046204, 0.7121981382369995, 0.8612341284751892)",1,1706192017772,0.37,0.94
4420330281,603143944318,"(0.344657301902771, 0.9312365055084229)","(-57.105735778808594, 30.224769592285156, 2.9549992084503174)",1,4.7641754150390625,1,"(-75.0967788696289, -97.14830017089844, 820.5670776367188)","(0.6264306306838989, 0.7033095359802246, 0.859406590461731)",1,"(0.3852650225162506, 0.9418515563011169)","(-42.177589416503906, 28.16208839416504, 2.2042276859283447)",1,4.1374053955078125,1,"(-18.73464012145996, -100.90520477294922, 824.2683715820312)","(0.5286363959312439, 0.7121413350105286, 0.8612661361694336)",1,1706192017773,0.36,0.94
4420341384,603143955421,"(0.34444183111190796, 0.931448757648468)","(-57.18494415283203, 30.18351936340332, 2.9399819374084473)",1,4.75762939453125,1,"(-75.26446533203125, -97.12895965576172, 820.52685546875)","(0.6267275214195251, 0.7032722234725952, 0.8593530058860779)",1,"(0.3876984715461731, 0.939408540725708)","(-41.28300094604492, 28.63681411743164, 2.376995086669922)",1,4.1364288330078125,1,"(-18.89602279663086, -100.8835220336914, 824.2395629882812)","(0.5289157629013062, 0.7120961546897888, 0.8612109422683716)",1,1706192017787,0.37,0.94
4420352487,603143966524,"(0.34513670206069946, 0.9298346638679504)","(-56.929500579833984, 30.497188568115234, 3.0540902614593506)",1,4.7503509521484375,1,"(-75.44976043701172, -97.1087875366211, 820.63671875)","(0.6270306706428528, 0.703191876411438, 0.859599232673645)",1,"(0.3885481655597687, 0.9267361760139465)","(-40.97063446044922, 31.0992374420166, 3.2733120918273926)",1,4.1529998779296875,1,"(-19.066184997558594, -100.85920715332031, 824.3614501953125)","(0.5292038917541504, 0.7120023965835571, 0.8614546060562134)",1,1706192017795,0.37,0.93
4420363590,603143977627,"(0.34373539686203003, 0.9255450963973999)","(-57.44463348388672, 31.330707550048828, 3.3574745655059814)",1,4.7362823486328125,1,"(-75.62599182128906, -97.06041717529297, 820.6099853515625)","(0.6273397207260132, 0.7030836939811707, 0.8595671653747559)",1,"(0.3878999650478363, 0.9280815124511719)","(-41.20891571044922, 30.837825775146484, 3.178149461746216)",1,4.151458740234375,1,"(-19.2371768951416, -100.80677032470703, 824.3463745117188)","(0.5294987559318542, 0.7118824124336243, 0.8614199161529541)",1,1706192017806,0.37,0.93
4420374694,603143988731,"(0.3421005606651306, 0.9298369884490967)","(-58.04563903808594, 30.496742248535156, 3.0539329051971436)",1,4.738006591796875,1,"(-75.81426239013672, -97.03611755371094, 820.666259765625)","(0.6276565194129944, 0.7030082941055298, 0.8597071766853333)",1,"(0.3824640214443207, 0.9309138655662537)","(-43.20724105834961, 30.28742027282715, 2.9778478145599365)",1,4.152587890625,1,"(-19.412755966186523, -100.7743148803711, 824.4146118164062)","(0.5297982692718506, 0.7117849588394165, 0.8615555167198181)",1,1706192017817,0.36,0.93
4420385797,603143999834,"(0.3432149291038513, 0.9290040135383606)","(-57.635963439941406, 30.658565521240234, 3.112922430038452)",1,4.7413787841796875,1,"(-75.98577117919922, -97.03115844726562, 820.71484375)","(0.6279458999633789, 0.7029799818992615, 0.8598333597183228)",1,"(0.3757277727127075, 0.9384617805480957)","(-45.683616638183594, 28.82076644897461, 2.443962812423706)",1,4.138092041015625,1,"(-19.568098068237305, -100.75797271728516, 824.4738159179688)","(0.5300635099411011, 0.711727499961853, 0.8616765141487122)",1,1706192017827,0.36,0.93
4420396900,603144010937,"(0.34361615777015686, 0.9317096471786499)","(-57.488460540771484, 30.132816314697266, 2.9215760231018066)",1,4.7537078857421875,1,"(-76.17085266113281, -97.0301513671875, 820.76318359375)","(0.6282587647438049, 0.7029606103897095, 0.8599627614021301)",1,"(0.37472954392433167, 0.9352983832359314)","(-46.050601959228516, 29.435461044311523, 2.667724609375)",1,4.131561279296875,1,"(-19.73887062072754, -100.7467041015625, 824.5337524414062)","(0.5303553938865662, 0.7116811871528625, 0.8618007898330688)",1,1706192017839,0.36,0.93
4420408003,603144022040,"(0.3450124263763428, 0.9297193288803101)","(-56.97517395019531, 30.51956558227539, 3.062335729598999)",1,4.7546234130859375,1,"(-76.35707092285156, -97.0373306274414, 820.751953125)","(0.6285834312438965, 0.7029762864112854, 0.8599762916564941)",1,"(0.37693411111831665, 0.9360702037811279)","(-45.240169525146484, 29.285512924194336, 2.6131272315979004)",1,4.1380615234375,1,"(-19.91396713256836, -100.73712158203125, 824.5336303710938)","(0.5306572914123535, 0.7116554975509644, 0.8618065118789673)",1,1706192017849,0.36,0.93
4420419106,603144033142,"(0.34272652864456177, 0.926388144493103)","(-57.815513610839844, 31.16686248779297, 3.297952890396118)",1,4.7579345703125,1,"(-76.50555419921875, -97.05895233154297, 820.8291015625)","(0.6288285255432129, 0.7030021548271179, 0.8601613640785217)",1,"(0.38121673464775085, 0.9364514350891113)","(-43.665809631347656, 29.211402893066406, 2.586229085922241)",1,4.1476898193359375,1,"(-20.047998428344727, -100.74263763427734, 824.6190795898438)","(0.5308848023414612, 0.7116413712501526, 0.8619838953018188)",1,1706192017861,0.36,0.93
4420430209,603144044245,"(0.34612587094306946, 0.9217444062232971)","(-56.56585693359375, 32.06922149658203, 3.626365900039673)",1,4.748443603515625,1,"(-76.64794921875, -97.05767059326172, 820.6895141601562)","(0.6290980577468872, 0.703033983707428, 0.8599112629890442)",1,"(0.37989893555641174, 0.9366629719734192)","(-44.15024948120117, 29.17030143737793, 2.5712568759918213)",1,4.14532470703125,1,"(-20.19125747680664, -100.72126007080078, 824.487548828125)","(0.5311374664306641, 0.7116260528564453, 0.8617246150970459)",1,1706192017872,0.36,0.93
4420441312,603144055348,"(0.3445035517215729, 0.9229850172996521)","(-57.16223907470703, 31.82813262939453, 3.5386290550231934)",1,4.7505340576171875,1,"(-76.79195404052734, -97.11327362060547, 820.8219604492188)","(0.6293267607688904, 0.7031235098838806, 0.8602128624916077)",1,"(0.37931111454963684, 0.9391983151435852)","(-44.36635208129883, 28.677654266357422, 2.391960620880127)",1,4.14813232421875,1,"(-20.315731048583984, -100.75108337402344, 824.626953125)","(0.5313464403152466, 0.711652934551239, 0.862014651298523)",1,1706192017883,0.36,0.93
4420452415,603144066451,"(0.34265559911727905, 0.9214230179786682)","(-57.84160232543945, 32.1317024230957, 3.649055242538452)",1,4.7554168701171875,1,"(-76.87727355957031, -97.15376281738281, 820.8399658203125)","(0.6294722557067871, 0.7032102942466736, 0.8602737784385681)",1,"(0.3806876242160797, 0.9350314140319824)","(-43.860313415527344, 29.487350463867188, 2.6866443157196045)",1,4.1471710205078125,1,"(-20.39164924621582, -100.76644897460938, 824.6480712890625)","(0.5314767360687256, 0.7116807103157043, 0.8620639443397522)",1,1706192017921,0.36,0.93
