gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
-916349.299492,1178,0.716619074344635,0.6366286404253501,0.3316834766770984,-916349.299492-1,162.02808191375289,74.74494564808361,686.7334724710511,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,0.14445993114859085,0.941795247314458,-0.30356719260889004
-916349.28737,1178,0.7332436442375183,0.6359324244703954,0.33173520115025856,-916349.28737-1,160.95755810079558,74.58359820836233,685.7306423460227,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,0.14231888352267638,0.9414725524350154,-0.30557285285894686
-916349.279567,1178,0.2251061925348995,0.30363717946122926,1.0207254316749508,-916349.279567-1,-160.93326487575942,-271.7812585829156,424.1916839584246,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.5014627624304336,0.24874283885245946,-0.8286507696341431
-916349.271435,1178,0.0,0.47359481366779355,0.34405071879538873,-916349.271435-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.2633710001,1179,0.0,0.47359481366779355,0.34405071879538873,-916349.2633710001-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.255417,1179,0.0,0.47359481366779355,0.34405071879538873,-916349.255417-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.247371,1179,0.0,0.47359481366779355,0.34405071879538873,-916349.247371-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.239207,1179,0.0,0.47359481366779355,0.34405071879538873,-916349.239207-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.23143,1179,0.0,0.47359481366779355,0.34405071879538873,-916349.23143-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.223503,1179,0.24913520098103076,0.3991310603705262,0.5006464404837438,-916349.223503-1,-85.76059695353717,-26.597452032357808,551.1008668310797,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.35111742658598916,0.739110451953575,-0.5748324038888328
-916349.208942,1180,0.0,0.47359481366779355,0.34405071879538873,-916349.208942-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.203009,1180,0.0,0.47359481366779355,0.34405071879538873,-916349.203009-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.195507,1180,0.9113844341613837,0.6310007869840881,0.32565365940832747,-916349.195507-1,186.45734876446923,94.20132827655999,824.027717286697,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,0.19331846485002369,0.9807080125714106,-0.028978702977598178
-916349.187468,1180,0.7500931620597839,0.6330832993652743,0.32630969359791007,-916349.187468-1,189.15852228988047,93.62502245523547,822.8545703416477,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,0.1987208119008461,0.9795554009287617,-0.031324996867696825
-916349.179535,1180,0.0,0.47359481366779355,0.34405071879538873,-916349.179535-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.1715,1181,0.0,0.47359481366779355,0.34405071879538873,-916349.1715-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.163422,1181,0.25567226775509366,0.44987771845910496,0.39381022519222864,-916349.163422-1,-44.40188725847895,30.38904386207355,614.7928668270938,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.26840000719587276,0.8530834437424378,-0.44744840389680474
-916349.146743,1181,0.0,0.47359481366779355,0.34405071879538873,-916349.146743-1,-30.500697699533433,85.31150376404332,899.5124539311473,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,-0.24059762807798177,0.9629283635463773,0.12199077031130243
-916349.139424,1181,0.99,0.6148241482677823,0.3155370685191452,-916349.139424-1,154.86249846206388,96.09609511721618,779.7142496713477,,,,,,,89.79811633945744,-396.1526780091453,838.517068775496,0.13012876424521286,0.9844975462527231,-0.11760563820829684
