device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
1825788444,1031529975940,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-172.42047119140625, -85.33909606933594, 893.7920532226562)","(0.7703766822814941, 0.6581057906150818, 1.0285248756408691)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401367
1825799547,1031529987039,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-171.75302124023438, -86.76213073730469, 893.7399291992188)","(0.7693492770195007, 0.6611478924751282, 1.0284395217895508)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401368
1825810651,1031529998139,"(0.6064291000366211, 0.5299988985061646)","(39.12646484375, 108.1911392211914, 31.332504272460938)",1,4.9627685546875,1,"(-173.04208374023438, -86.91486358642578, 893.47265625)","(0.7714857459068298, 0.6615009307861328, 1.0284322500228882)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401368,0.6064291000366211,0.5299988985061646
1825821754,1031530009240,"(0.6064291000366211, 0.5299988985061646)","(39.12646484375, 108.1911392211914, 31.332504272460938)",1,4.9627685546875,1,"(-172.2495880126953, -85.67237091064453, 893.7431030273438)","(0.7701241970062256, 0.6588258743286133, 1.0284271240234375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401374,0.6064291000366211,0.5299988985061646
1825832857,1031530020343,"(0.6064291000366211, 0.5299988985061646)","(39.12646484375, 108.1911392211914, 31.332504272460938)",1,4.9627685546875,1,"(-171.7610321044922, -86.1675033569336, 893.801025390625)","(0.7693353891372681, 0.6598740816116333, 1.028449535369873)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401384,0.6064291000366211,0.5299988985061646
1825843960,1031530031445,"(0.5934695601463318, 0.5911431908607483)","(34.362281799316406, 96.30995178222656, 27.007953643798828)",1,4.994384765625,1,"(-174.24017333984375, -84.99662017822266, 900.1685180664062)","(0.7712959051132202, 0.6560906767845154, 1.0416160821914673)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401398,0.5934695601463318,0.5911431908607483
1825855063,1031530042547,"(0.5934695601463318, 0.5911431908607483)","(34.362281799316406, 96.30995178222656, 27.007953643798828)",1,4.994384765625,1,"(-173.52561950683594, -85.36245727539062, 900.2839965820312)","(0.7701362371444702, 0.6568524241447449, 1.0416396856307983)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401407,0.5934695601463318,0.5911431908607483
1825866166,1031530053649,"(0.5934695601463318, 0.5911431908607483)","(34.362281799316406, 96.30995178222656, 27.007953643798828)",1,4.994384765625,1,"(-173.5258026123047, -85.36404418945312, 900.2840576171875)","(0.7701365351676941, 0.6568557620048523, 1.0416401624679565)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401418,0.5934695601463318,0.5911431908607483
1825877269,1031530064751,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-173.5260009765625, -85.36563110351562, 900.2842407226562)","(0.7701367735862732, 0.6568590998649597, 1.0416408777236938)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401429
1825888372,1031530075860,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-172.78785705566406, -85.87613677978516, 900.375)","(0.7689495086669922, 0.6579306125640869, 1.0416356325149536)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401440
