device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
8643274488,348197270211,"(0.530326247215271, 0.624328076839447)","(11.149632453918457, 89.8615951538086, 24.66106605529785)",1,3.373291015625,1,"(27.50275993347168, -19.027402877807617, 847.943359375)","(0.44884490966796875, 0.5235098004341125, 0.8972051739692688)",1,"(0.5429635047912598, 0.625347912311554)","(15.795330047607422, 89.66341400146484, 24.58895492553711)",1,3.6575927734375,1,"(76.9617691040039, -37.08436584472656, 845.4688110351562)","(0.36575639247894287, 0.5651715397834778, 0.8995479941368103)",1,1705937076502,0.54,0.62
8643285591,348197281314,"(0.5441118478775024, 0.6337804794311523)","(16.21746826171875, 88.02484893798828, 23.99254608154297)",1,3.4271697998046875,1,"(27.630346298217773, -19.385114669799805, 853.31103515625)","(0.4489262104034424, 0.5240364074707031, 0.9079566597938538)",1,"(0.5385138988494873, 0.6038786768913269)","(14.159564018249512, 93.8352279663086, 26.10730743408203)",1,3.6957244873046875,1,"(77.36237335205078, -37.41153335571289, 850.8261108398438)","(0.36590346693992615, 0.5653752684593201, 0.9103094339370728)",1,1705937076513,0.54,0.62
8643296694,348197292416,"(0.5441118478775024, 0.6337804794311523)","(16.21746826171875, 88.02484893798828, 23.99254608154297)",1,3.4271697998046875,1,"(27.51390838623047, -19.83858871459961, 856.1044311523438)","(0.4492761194705963, 0.5248964428901672, 0.9135522246360779)",1,"(0.5387284159660339, 0.6063505411148071)","(14.238401412963867, 93.35491180419922, 25.93248748779297)",1,3.7148284912109375,1,"(77.44645690917969, -37.718467712402344, 853.6192626953125)","(0.366189569234848, 0.5657809376716614, 0.9159096479415894)",1,1705937076524,0.54,0.62
8643307797,348197303520,"(0.5454304814338684, 0.6279939413070679)","(16.702213287353516, 89.14927673339844, 24.40180206298828)",1,3.4430084228515625,1,"(27.76371955871582, -19.852020263671875, 860.4530029296875)","(0.4490927755832672, 0.5247061252593994, 0.9222593903541565)",1,"(0.5401917099952698, 0.6024511456489563)","(14.776329040527344, 94.11264038085938, 26.20826530456543)",1,3.72552490234375,1,"(77.94585418701172, -37.69944763183594, 857.9420166015625)","(0.366008460521698, 0.5653187036514282, 0.9246000051498413)",1,1705937076536,0.54,0.62
8643318900,348197314625,"(0.5391443967819214, 0.610301673412323)","(14.391345024108887, 92.58715057373047, 25.65302085876465)",1,3.498321533203125,1,"(27.791837692260742, -20.11509895324707, 864.4884643554688)","(0.44926345348358154, 0.5250771045684814, 0.9303379058837891)",1,"(0.5390663146972656, 0.6015580892562866)","(14.362617492675781, 94.2861557006836, 26.2714786529541)",1,3.7707672119140625,1,"(78.23078155517578, -37.929141998291016, 861.9681396484375)","(0.36614274978637695, 0.5654332637786865, 0.9326832294464111)",1,1705937076547,0.54,0.61
8643330003,348197325730,"(0.5391443967819214, 0.610301673412323)","(14.391345024108887, 92.58715057373047, 25.65302085876465)",1,3.498321533203125,1,"(28.063688278198242, -20.67342758178711, 866.7825317382812)","(0.44894593954086304, 0.5261862874031067, 0.9349662065505981)",1,"(0.5387803316116333, 0.5983725190162659)","(14.257521629333496, 94.90513610839844, 26.496767044067383)",1,3.7827911376953125,1,"(78.62777709960938, -38.38089370727539, 864.2482299804688)","(0.36583539843559265, 0.5662083625793457, 0.9373316764831543)",1,1705937076557,0.54,0.6
8643341106,348197336836,"(0.5418934226036072, 0.5901960134506226)","(15.401944160461426, 96.49396514892578, 27.07499885559082)",1,3.5041046142578125,1,"(27.87883186340332, -20.674955368041992, 869.5670776367188)","(0.44939497113227844, 0.5260392427444458, 0.9405189156532288)",1,"(0.5486972332000732, 0.595508873462677)","(17.903169631958008, 95.46156311035156, 26.69930076599121)",1,3.7804107666015625,1,"(78.65037536621094, -38.357994079589844, 867.0318603515625)","(0.36621159315109253, 0.5658831596374512, 0.9428728222846985)",1,1705937076569,0.55,0.59
8643352209,348197347942,"(0.5444625616073608, 0.5642732381820679)","(16.34638023376465, 101.53115844726562, 28.908416748046875)",1,3.538238525390625,1,"(27.91705894470215, -20.95151138305664, 872.37744140625)","(0.449482798576355, 0.5264943242073059, 0.9461508989334106)",1,"(0.5443727374076843, 0.5833325982093811)","(16.313390731811523, 97.8276138305664, 27.560470581054688)",1,3.84844970703125,1,"(78.88843536376953, -38.61916732788086, 869.8350219726562)","(0.3662402629852295, 0.5661819577217102, 0.948516845703125)",1,1705937076608,0.54,0.57
8643363313,348197359045,"(0.5543929934501648, 0.5720875859260559)","(19.996999740600586, 100.01273345947266, 28.35574722290039)",1,3.5532989501953125,1,"(27.95102882385254, -21.264507293701172, 875.2539672851562)","(0.44958096742630005, 0.5270218253135681, 0.9519166350364685)",1,"(0.5458528995513916, 0.5871566534042358)","(16.857519149780273, 97.08456420898438, 27.290021896362305)",1,3.840087890625,1,"(79.12336730957031, -38.94134521484375, 872.7063598632812)","(0.36628490686416626, 0.5666046142578125, 0.9543014168739319)",1,1705937076609,0.55,0.58
8643374416,348197370148,"(0.5576190948486328, 0.5843960046768188)","(21.18296241760254, 97.62102508544922, 27.48521614074707)",1,3.5621795654296875,1,"(27.94378662109375, -21.525880813598633, 877.1115112304688)","(0.4496921896934509, 0.5274882316589355, 0.955640971660614)",1,"(0.5436563491821289, 0.5813977718353271)","(16.05001449584961, 98.20361328125, 27.69731330871582)",1,3.8349151611328125,1,"(79.2596206665039, -39.18680191040039, 874.5614013671875)","(0.3663393557071686, 0.5669568181037903, 0.9580390453338623)",1,1705937076609,0.55,0.58
8643385519,348197381251,"(0.5176904201507568, 0.6088193655014038)","(6.504484176635742, 92.87518310546875, 25.75789451599121)",1,3.620208740234375,1,"(27.82098960876465, -21.72866439819336, 878.0592651367188)","(0.4499428868293762, 0.5278730988502502, 0.9575371146202087)",1,"(0.5228248834609985, 0.6022852063179016)","(8.392007827758789, 94.14488220214844, 26.220012664794922)",1,3.86834716796875,1,"(79.22398376464844, -39.35781478881836, 875.5137939453125)","(0.3665395677089691, 0.5672324895858765, 0.9599429965019226)",1,1705937076613,0.52,0.61
8643396622,348197392354,"(0.5039957165718079, 0.6047993302345276)","(1.4700332880020142, 93.65632629394531, 26.042217254638672)",1,3.612060546875,1,"(27.826881408691406, -21.755619049072266, 878.9111328125)","(0.4499771296977997, 0.5278853178024292, 0.9592412114143372)",1,"(0.5206573009490967, 0.6056134104728699)","(7.595151901245117, 93.4981460571289, 25.984617233276367)",1,3.9071807861328125,1,"(79.28825378417969, -39.39015197753906, 876.36328125)","(0.3665599524974823, 0.5672195553779602, 0.9616478085517883)",1,1705937076623,0.51,0.61
8643407725,348197403457,"(0.49232015013694763, 0.6095670461654663)","(-2.822126865386963, 92.72988891601562, 25.705018997192383)",1,3.6474609375,1,"(27.619783401489258, -22.182432174682617, 880.2919311523438)","(0.45038849115371704, 0.5287265777587891, 0.9620088934898376)",1,"(0.5236588716506958, 0.6119340658187866)","(8.698586463928223, 92.26994323730469, 25.537582397460938)",1,3.8819580078125,1,"(79.16856384277344, -39.82148361206055, 877.7613525390625)","(0.366964727640152, 0.5680109262466431, 0.9644471406936646)",1,1705937076637,0.51,0.61
8643418828,348197414559,"(0.5000752210617065, 0.599683940410614)","(0.02879432588815689, 94.65032196044922, 26.40401840209961)",1,3.6641845703125,1,"(27.812076568603516, -22.22084617614746, 882.9107666015625)","(0.4502105712890625, 0.5286694169044495, 0.9672562479972839)",1,"(0.5247604250907898, 0.595097541809082)","(9.103560447692871, 95.54151153564453, 26.728391647338867)",1,3.9094696044921875,1,"(79.55451965332031, -39.860042572021484, 880.3595581054688)","(0.36671847105026245, 0.5678430795669556, 0.9696900844573975)",1,1705937076646,0.51,0.6
8643429931,348197425662,"(0.4991596043109894, 0.6013883352279663)","(-0.30780941247940063, 94.31916046142578, 26.283477783203125)",1,3.666015625,1,"(27.834192276000977, -22.42226791381836, 884.9874267578125)","(0.45028242468833923, 0.5289883613586426, 0.9714178442955017)",1,"(0.5228345394134521, 0.6096057891845703)","(8.39555549621582, 92.72235870361328, 25.702322006225586)",1,3.9191131591796875,1,"(79.7404556274414, -40.058189392089844, 882.429931640625)","(0.3667219281196594, 0.5680674314498901, 0.9738610982894897)",1,1705937076657,0.51,0.61
8643441034,348197436764,"(0.507090151309967, 0.593170702457428)","(2.607604742050171, 95.91596984863281, 26.86467933654785)",1,3.5993194580078125,1,"(27.98892593383789, -22.375667572021484, 886.114990234375)","(0.45008978247642517, 0.5288297533988953, 0.973678469657898)",1,"(0.512515127658844, 0.6115818619728088)","(4.601953029632568, 92.33837890625, 25.562570571899414)",1,3.95391845703125,1,"(79.96570587158203, -40.02333068847656, 883.5448608398438)","(0.36652010679244995, 0.5678864121437073, 0.976116955280304)",1,1705937076668,0.51,0.6
8643452138,348197447868,"(0.5034187436103821, 0.582076370716095)","(1.257910966873169, 98.07173156738281, 27.649322509765625)",1,3.624176025390625,1,"(27.903520584106445, -22.60625648498535, 888.30419921875)","(0.45034000277519226, 0.5292011499404907, 0.978059709072113)",1,"(0.5182981491088867, 0.6053694486618042)","(6.727854251861572, 93.54556274414062, 26.001895904541016)",1,3.990570068359375,1,"(80.04073333740234, -40.24675369262695, 885.7352294921875)","(0.3667199909687042, 0.568149983882904, 0.9805091619491577)",1,1705937076679,0.51,0.59
