device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
8968823190,348522821604,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1705937402057
8968845730,348522844145,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(27.727907180786133, 30.540447235107422, 821.1681518554688)","(0.44615691900253296, 0.41037118434906006, 0.8444070816040039)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(77.68002319335938, 5.607051849365234, 817.3699951171875)","(0.3593592345714569, 0.469007670879364, 0.8421440720558167)",1,1705937402080
8968856833,348522855248,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(26.85819435119629, 29.974842071533203, 821.0757446289062)","(0.4476683437824249, 0.41165244579315186, 0.8441231846809387)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(77.61178588867188, 5.363173484802246, 817.2738647460938)","(0.35946622490882874, 0.46957114338874817, 0.8419365286827087)",1,1705937402094
8968881261,348522879676,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(26.77078628540039, 30.639925003051758, 821.0988159179688)","(0.44781041145324707, 0.41011500358581543, 0.844212532043457)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(78.06822204589844, 6.287956714630127, 817.232177734375)","(0.35864895582199097, 0.4674329161643982, 0.8419532179832458)",1,1705937402112
8968892364,348522890779,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(26.10614013671875, 30.612138748168945, 820.9827270507812)","(0.44895657896995544, 0.41015517711639404, 0.8439357876777649)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(77.87144470214844, 6.404295921325684, 817.11474609375)","(0.3589702248573303, 0.46715664863586426, 0.8416838645935059)",1,1705937402122
8968903467,348522901882,"(0.5045031905174255, 0.5913481116294861)","(1.6565972566604614, 96.27006530761719, 26.99361228942871)",1,4.3455352783203125,1,"(24.260440826416016, 30.548641204833984, 820.706298828125)","(0.4521433413028717, 0.41023916006088257, 0.8432657718658447)",1,"(0.49193745851516724, 0.6293103694915771)","(-2.9627981185913086, 88.89346313476562, 24.30868911743164)",1,4.728363037109375,1,"(76.6781997680664, 6.438898086547852, 816.8961791992188)","(0.36101222038269043, 0.4670472741127014, 0.8410245180130005)",1,1705937402133,0.5,0.61
8968914570,348522912985,"(0.5045031905174255, 0.5913481116294861)","(1.6565972566604614, 96.27006530761719, 26.99361228942871)",1,4.3455352783203125,1,"(22.93062400817871, 31.285388946533203, 820.70068359375)","(0.4544375240802765, 0.4085064232349396, 0.8432336449623108)",1,"(0.49193745851516724, 0.6293103694915771)","(-2.9627981185913086, 88.89346313476562, 24.30868911743164)",1,4.728363037109375,1,"(75.53756713867188, 7.316045761108398, 816.9382934570312)","(0.3629915714263916, 0.46498599648475647, 0.8409115076065063)",1,1705937402144,0.5,0.61
8968925673,348522924088,"(0.5045031905174255, 0.5913481116294861)","(1.6565972566604614, 96.27006530761719, 26.99361228942871)",1,4.3455352783203125,1,"(22.554052352905273, 30.36544418334961, 820.4172973632812)","(0.45509183406829834, 0.4106020927429199, 0.8425776362419128)",1,"(0.49193745851516724, 0.6293103694915771)","(-2.9627981185913086, 88.89346313476562, 24.30868911743164)",1,4.728363037109375,1,"(75.63380432128906, 6.481898784637451, 816.6619262695312)","(0.3627932369709015, 0.46692121028900146, 0.8403648734092712)",1,1705937402182,0.5,0.61
8968936776,348522935191,"(0.525925874710083, 0.5619210004806519)","(9.531960487365723, 101.98822784423828, 29.074758529663086)",1,4.3301544189453125,1,"(21.65313720703125, 29.46441650390625, 820.344970703125)","(0.45666611194610596, 0.4126616418361664, 0.8423189520835876)",1,"(0.5066856741905212, 0.5935927629470825)","(2.45892333984375, 95.83390808105469, 26.834819793701172)",1,4.6629486083984375,1,"(75.25275421142578, 5.613332748413086, 816.6270141601562)","(0.3634662330150604, 0.4689309000968933, 0.8402124047279358)",1,1705937402183,0.52,0.58
8968947879,348522946295,"(0.525925874710083, 0.5619210004806519)","(9.531960487365723, 101.98822784423828, 29.074758529663086)",1,4.3301544189453125,1,"(19.791601181030273, 29.822668075561523, 820.3202514648438)","(0.45988929271698, 0.4117910861968994, 0.8422014117240906)",1,"(0.5066856741905212, 0.5935927629470825)","(2.45892333984375, 95.83390808105469, 26.834819793701172)",1,4.6629486083984375,1,"(73.63996124267578, 6.1310529708862305, 816.6934204101562)","(0.36627885699272156, 0.46769440174102783, 0.840059220790863)",1,1705937402183,0.52,0.58
