device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
14122794099,14100274310,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-146.41915893554688, -54.16273498535156, 927.1144409179688)","(0.7201709747314453, 0.5884421467781067, 1.0803333520889282)",1,"(0.4491201937198639, 0.44948384165763855)","(-18.703218460083008, 123.83643341064453, 37.026824951171875)",1,3.913299560546875,1,"(-86.8144760131836, -62.912086486816406, 935.1939697265625)","(0.6276593804359436, 0.6063634157180786, 1.0826389789581299)",1,1706707211341,0.4491201937198639,0.44948384165763855
14122916234,14100396438,"(0.48036089539527893, 0.3585907816886902)","(-7.21856164932251, 141.498291015625, 43.45528030395508)",1,5.7575836181640625,1,"(-147.87722778320312, -53.97685241699219, 927.8678588867188)","(0.7222212553024292, 0.5879470705986023, 1.0822539329528809)",1,"(0.4747845530509949, 0.4223657548427582)","(-9.268533706665039, 129.10586547851562, 38.94485855102539)",1,3.9133453369140625,1,"(-88.4510726928711, -63.065513610839844, 936.038818359375)","(0.630029022693634, 0.6065300703048706, 1.0846426486968994)",1,1706707211464,0.48,0.39
14122927337,14100407540,"(0.48036089539527893, 0.3585907816886902)","(-7.21856164932251, 141.498291015625, 43.45528030395508)",1,5.7575836181640625,1,"(-147.8795623779297, -53.98111343383789, 927.8678588867188)","(0.7222248315811157, 0.5879557132720947, 1.0822551250457764)",1,"(0.4747845530509949, 0.4223657548427582)","(-9.268533706665039, 129.10586547851562, 38.94485855102539)",1,3.9133453369140625,1,"(-88.44873046875, -63.06125259399414, 936.038818359375)","(0.6300253868103027, 0.6065215468406677, 1.084641695022583)",1,1706707211475,0.48,0.39
14122938440,14100418643,"(0.4680893123149872, 0.350763201713562)","(-11.72983169555664, 143.01931762695312, 44.00886154174805)",1,5.7613525390625,1,"(-147.9739990234375, -54.168968200683594, 927.6171264648438)","(0.7224335670471191, 0.5883671045303345, 1.0818120241165161)",1,"(0.4541434347629547, 0.430289626121521)","(-16.85659408569336, 127.56610870361328, 38.384483337402344)",1,3.8909912109375,1,"(-88.5818099975586, -63.22483825683594, 935.7927856445312)","(0.630265474319458, 0.6068836450576782, 1.0841997861862183)",1,1706707211488,0.46,0.39
14122949543,14100429746,"(0.4772338569164276, 0.3556622564792633)","(-8.36811637878418, 142.06735229492188, 43.66237258911133)",1,5.71575927734375,1,"(-147.61366271972656, -54.10314178466797, 924.7824096679688)","(0.7225762605667114, 0.5885698795318604, 1.0761016607284546)",1,"(0.46886172890663147, 0.444364070892334)","(-11.445886611938477, 124.83123779296875, 37.389076232910156)",1,3.9125823974609375,1,"(-88.39335632324219, -63.089874267578125, 932.938232421875)","(0.6303908824920654, 0.6069998145103455, 1.0784753561019897)",1,1706707211499,0.47,0.4
14122960646,14100440849,"(0.4772338569164276, 0.3556622564792633)","(-8.36811637878418, 142.06735229492188, 43.66237258911133)",1,5.71575927734375,1,"(-147.61610412597656, -54.107337951660156, 924.7823486328125)","(0.722580075263977, 0.588578462600708, 1.07610285282135)",1,"(0.46886172890663147, 0.444364070892334)","(-11.445886611938477, 124.83123779296875, 37.389076232910156)",1,3.9125823974609375,1,"(-88.39091491699219, -63.08567810058594, 932.9382934570312)","(0.6303871273994446, 0.6069913506507874, 1.078474521636963)",1,1706707211509,0.47,0.4
14122971749,14100451952,"(0.5093587636947632, 0.38872218132019043)","(3.4415810108184814, 135.64334106445312, 41.324214935302734)",1,5.6870269775390625,1,"(-147.44912719726562, -54.29826354980469, 924.50634765625)","(0.7223935723304749, 0.5890055894851685, 1.0755281448364258)",1,"(0.4944784641265869, 0.49565356969833374)","(-2.0286850929260254, 114.8649673461914, 33.76154327392578)",1,3.9072265625,1,"(-88.26156616210938, -63.245662689208984, 932.6502075195312)","(0.630233883857727, 0.6073582172393799, 1.07789945602417)",1,1706707211546,0.5,0.44
14122982852,14100463054,"(0.5021159052848816, 0.3857801556587219)","(0.7789567112922668, 136.2150115966797, 41.53229522705078)",1,5.7309112548828125,1,"(-147.54620361328125, -54.32016372680664, 924.66357421875)","(0.7225045561790466, 0.5890302062034607, 1.0758713483810425)",1,"(0.5014407634735107, 0.5096792578697205)","(0.5307710766792297, 112.13957977294922, 32.769554138183594)",1,3.9529876708984375,1,"(-88.345703125, -63.26291275024414, 932.8132934570312)","(0.6303386688232422, 0.6073694825172424, 1.0782414674758911)",1,1706707211546,0.5,0.45
14122993956,14100474158,"(0.5021159052848816, 0.3857801556587219)","(0.7789567112922668, 136.2150115966797, 41.53229522705078)",1,5.7309112548828125,1,"(-147.54864501953125, -54.324337005615234, 924.6635131835938)","(0.722508430480957, 0.5890386700630188, 1.0758724212646484)",1,"(0.5014407634735107, 0.5096792578697205)","(0.5307710766792297, 112.13957977294922, 32.769554138183594)",1,3.9529876708984375,1,"(-88.34326171875, -63.25873565673828, 932.8133544921875)","(0.6303349137306213, 0.6073610186576843, 1.0782407522201538)",1,1706707211546,0.5,0.45
14123005059,14100485261,"(0.5137381553649902, 0.3960297107696533)","(5.051537990570068, 134.22335815429688, 40.807395935058594)",1,5.715484619140625,1,"(-147.5843048095703, -54.604331970214844, 925.9044189453125)","(0.7222616076469421, 0.5894659757614136, 1.0783628225326538)",1,"(0.49661314487457275, 0.5152066946029663)","(-1.2439316511154175, 111.06550598144531, 32.378631591796875)",1,3.9388275146484375,1,"(-88.32559967041016, -63.51451873779297, 934.0516967773438)","(0.6301316618919373, 0.6077123284339905, 1.080731987953186)",1,1706707211562,0.51,0.46
14123016162,14100496365,"(0.5266599059104919, 0.4020659327507019)","(9.801830291748047, 133.05043029785156, 40.38047790527344)",1,5.6583099365234375,1,"(-147.1357421875, -54.538509368896484, 923.5010986328125)","(0.7221617698669434, 0.5896230936050415, 1.0734754800796509)",1,"(0.48836880922317505, 0.5074632167816162)","(-4.274710655212402, 112.5701904296875, 32.926300048828125)",1,3.9217071533203125,1,"(-88.03663635253906, -63.371864318847656, 931.6197509765625)","(0.6300418972969055, 0.6077597141265869, 1.0758270025253296)",1,1706707211565,0.51,0.45
14123027265,14100507470,"(0.5266599059104919, 0.4020659327507019)","(9.801830291748047, 133.05043029785156, 40.38047790527344)",1,5.6583099365234375,1,"(-147.1382293701172, -54.542625427246094, 923.5010375976562)","(0.722165584564209, 0.5896314978599548, 1.0734766721725464)",1,"(0.48836880922317505, 0.5074632167816162)","(-4.274710655212402, 112.5701904296875, 32.926300048828125)",1,3.9217071533203125,1,"(-88.03414916992188, -63.36775207519531, 931.6198120117188)","(0.6300380229949951, 0.6077514290809631, 1.0758261680603027)",1,1706707211576,0.51,0.45
14123038368,14100518574,"(0.5216029286384583, 0.4130931794643402)","(7.942768096923828, 130.9076690673828, 39.600582122802734)",1,5.6356353759765625,1,"(-146.7685089111328, -54.67881393432617, 922.4625854492188)","(0.7218531966209412, 0.59004145860672, 1.0713289976119995)",1,"(0.4793784022331238, 0.4791390001773834)","(-7.579766273498535, 118.07400512695312, 34.92951583862305)",1,3.926422119140625,1,"(-87.74842071533203, -63.460487365722656, 930.5571899414062)","(0.6297568678855896, 0.6080911159515381, 1.073674201965332)",1,1706707211588,0.5,0.45
14123049471,14100529679,"(0.5081707239151001, 0.4081699848175049)","(3.004833698272705, 131.8643341064453, 39.94878005981445)",1,5.6905364990234375,1,"(-147.0196533203125, -54.718467712402344, 923.8651733398438)","(0.721895694732666, 0.5899516344070435, 1.0741779804229736)",1,"(0.4701196253299713, 0.4555191695690155)","(-10.983458518981934, 122.66370391845703, 36.600013732910156)",1,3.8828277587890625,1,"(-87.9083480834961, -63.523643493652344, 931.9741821289062)","(0.6297966241836548, 0.6080225706100464, 1.0765275955200195)",1,1706707211598,0.49,0.43
14123060574,14100540784,"(0.5105209946632385, 0.4224303662776947)","(3.8688571453094482, 129.09332275390625, 38.94021224975586)",1,5.670013427734375,1,"(-146.8773651123047, -54.954532623291016, 924.6988525390625)","(0.7214751243591309, 0.5903397798538208, 1.0758048295974731)",1,"(0.4701196253299713, 0.4555191695690155)","(-10.983458518981934, 122.66370391845703, 36.600013732910156)",1,3.8828277587890625,1,"(-87.71379089355469, -63.76074981689453, 932.798828125)","(0.6293836236000061, 0.6083953976631165, 1.078161597251892)",1,1706707211609,0.49,0.44
14123071677,14100551887,"(0.5027793645858765, 0.4035707414150238)","(1.0228734016418457, 132.7580108642578, 40.2740478515625)",1,5.669952392578125,1,"(-146.5520477294922, -55.364200592041016, 926.0164794921875)","(0.720658004283905, 0.5910284519195557, 1.0783494710922241)",1,"(0.4787316620349884, 0.45453527569770813)","(-7.817526817321777, 122.85487365722656, 36.66960906982422)",1,3.886077880859375,1,"(-87.48392486572266, -64.07354736328125, 934.0723266601562)","(0.6288541555404663, 0.608860194683075, 1.0806914567947388)",1,1706707211621,0.49,0.43
14123082781,14100562991,"(0.5027793645858765, 0.4035707414150238)","(1.0228734016418457, 132.7580108642578, 40.2740478515625)",1,5.669952392578125,1,"(-147.03114318847656, -55.182518005371094, 926.6217651367188)","(0.721243679523468, 0.5905753374099731, 1.0796713829040527)",1,"(0.47596532106399536, 0.4734126329421997)","(-8.834449768066406, 119.18669891357422, 35.334503173828125)",1,3.9265594482421875,1,"(-87.92652130126953, -63.89767837524414, 934.705078125)","(0.6294347047805786, 0.6084082126617432, 1.0820069313049316)",1,1706707211632,0.49,0.44
14123093884,14100574094,"(0.49900537729263306, 0.38584208488464355)","(-0.3645242750644684, 136.2029571533203, 41.52790451049805)",1,5.6904449462890625,1,"(-147.03363037109375, -55.18657684326172, 926.6217651367188)","(0.7212475538253784, 0.5905835628509521, 1.0796725749969482)",1,"(0.47596532106399536, 0.4734126329421997)","(-8.834449768066406, 119.18669891357422, 35.334503173828125)",1,3.9265594482421875,1,"(-87.92403411865234, -63.893619537353516, 934.705078125)","(0.629430890083313, 0.6083999872207642, 1.0820058584213257)",1,1706707211642,0.49,0.43
14123104987,14100585197,"(0.4940652847290039, 0.42465096712112427)","(-2.180588960647583, 128.66180419921875, 38.783199310302734)",1,5.70623779296875,1,"(-146.91102600097656, -55.37254333496094, 927.1309204101562)","(0.7209374904632568, 0.5909058451652527, 1.0806602239608765)",1,"(0.471492201089859, 0.4943946897983551)","(-10.47885513305664, 115.10957336425781, 33.85055160522461)",1,3.9429473876953125,1,"(-87.79624938964844, -64.07535552978516, 935.2039794921875)","(0.6291670203208923, 0.6087026596069336, 1.0829979181289673)",1,1706707211679,0.48,0.46
14123116090,14100596299,"(0.4940652847290039, 0.42465096712112427)","(-2.180588960647583, 128.66180419921875, 38.783199310302734)",1,5.70623779296875,1,"(-146.9134979248047, -55.3765983581543, 927.130859375)","(0.7209413647651672, 0.5909140706062317, 1.080661416053772)",1,"(0.4728946387767792, 0.4867866039276123)","(-9.96330451965332, 116.58795166015625, 34.388641357421875)",1,3.8955535888671875,1,"(-87.79377746582031, -64.07129669189453, 935.2040405273438)","(0.6291632056236267, 0.6086944341659546, 1.0829970836639404)",1,1706707211680,0.48,0.46
14123127193,14100607401,"(0.4940652847290039, 0.42465096712112427)","(-2.180588960647583, 128.66180419921875, 38.783199310302734)",1,5.70623779296875,1,"(-146.91598510742188, -55.380645751953125, 927.130859375)","(0.7209451794624329, 0.5909222960472107, 1.0806626081466675)",1,"(0.4728946387767792, 0.4867866039276123)","(-9.96330451965332, 116.58795166015625, 34.388641357421875)",1,3.8955535888671875,1,"(-87.79129028320312, -64.06725311279297, 935.2040405273438)","(0.6291593909263611, 0.6086863279342651, 1.082996129989624)",1,1706707211680,0.48,0.46
14123138296,14100618502,"(0.582367479801178, 0.3530234694480896)","(30.280954360961914, 142.5801239013672, 43.84898376464844)",1,5.7627716064453125,1,"(-145.5303497314453, -55.340553283691406, 922.7942504882812)","(0.7198712229728699, 0.591385543346405, 1.0716739892959595)",1,"(0.6284133791923523, 0.38554754853248596)","(47.20826721191406, 136.26019287109375, 41.54876708984375)",1,3.8934173583984375,1,"(-86.70781707763672, -63.95669174194336, 930.7831420898438)","(0.6281402111053467, 0.6090906262397766, 1.073996663093567)",1,1706707211695,0.61,0.37
14123149399,14100629603,"(0.582367479801178, 0.3530234694480896)","(30.280954360961914, 142.5801239013672, 43.84898376464844)",1,5.7627716064453125,1,"(-145.47511291503906, -55.27560806274414, 922.9031982421875)","(0.7197586894035339, 0.5912399888038635, 1.0718640089035034)",1,"(0.6347265839576721, 0.39218148589134216)","(49.52910614013672, 134.97113037109375, 41.07958221435547)",1,3.94775390625,1,"(-86.64106750488281, -63.88444900512695, 930.8875122070312)","(0.6280222535133362, 0.6089302897453308, 1.0741820335388184)",1,1706707211698,0.61,0.37
14123160502,14100640703,"(0.6237133741378784, 0.3515319228172302)","(45.48046875, 142.86993408203125, 43.95447540283203)",1,5.67803955078125,1,"(-144.6983184814453, -55.26311492919922, 921.5774536132812)","(0.7188828587532043, 0.5913884043693542, 1.0690068006515503)",1,"(0.6375300884246826, 0.3869503438472748)","(50.55973815917969, 135.9875946044922, 41.44955062866211)",1,3.9775238037109375,1,"(-86.02645111083984, -63.83979415893555, 929.5062866210938)","(0.6272789239883423, 0.609041690826416, 1.07131826877594)",1,1706707211710,0.63,0.37
14123171606,14100651807,"(0.7407034635543823, 0.2537853419780731)","(88.48818969726562, 161.86355590820312, 50.86758804321289)",1,5.6277008056640625,1,"(-144.94320678710938, -55.495853424072266, 924.3191528320312)","(0.7185980677604675, 0.5915321111679077, 1.074517846107483)",1,"(0.7179505825042725, 0.293792188167572)","(80.12384033203125, 154.089599609375, 48.03812789916992)",1,3.94171142578125,1,"(-86.17972564697266, -64.07160186767578, 932.2506103515625)","(0.6271257996559143, 0.6091317534446716, 1.0768307447433472)",1,1706707211720,0.73,0.27
14123182709,14100662910,"(0.7411174178123474, 0.2658531963825226)","(88.6403579711914, 159.51858520507812, 50.01409149169922)",1,5.5998992919921875,1,"(-144.99427795410156, -55.725738525390625, 925.3280029296875)","(0.7184355854988098, 0.5918811559677124, 1.0765506029129028)",1,"(0.7286490201950073, 0.28299397230148315)","(84.05677032470703, 156.1878662109375, 48.80183792114258)",1,3.9083709716796875,1,"(-86.23886108398438, -64.30046081542969, 933.2553100585938)","(0.6270765662193298, 0.6094570755958557, 1.0788689851760864)",1,1706707211731,0.73,0.27
14123193812,14100674013,"(0.7211596965789795, 0.2546798884868622)","(81.30354309082031, 161.68972778320312, 50.804317474365234)",1,5.664520263671875,1,"(-144.99693298339844, -55.729705810546875, 925.3279418945312)","(0.7184397578239441, 0.5918892621994019, 1.076551914215088)",1,"(0.7411518692970276, 0.27078941464424133)","(88.65304565429688, 158.55938720703125, 49.66499710083008)",1,3.8665618896484375,1,"(-86.23619842529297, -64.29649353027344, 933.25537109375)","(0.6270723938941956, 0.609449028968811, 1.07886803150177)",1,1706707211741,0.73,0.26
14123204915,14100685116,"(0.7282127141952515, 0.2523288130760193)","(83.89635467529297, 162.14657592773438, 50.97053909301758)",1,5.6669769287109375,1,"(-144.82911682128906, -55.976715087890625, 926.1250610351562)","(0.7179926037788391, 0.5923023223876953, 1.078101634979248)",1,"(0.7339282035827637, 0.34888967871665955)","(85.99750518798828, 143.3833770751953, 44.141326904296875)",1,3.90081787109375,1,"(-86.0620346069336, -64.53659057617188, 934.0375366210938)","(0.6266995072364807, 0.6098317503929138, 1.0804232358932495)",1,1706707211754,0.73,0.3
14123216018,14100696219,"(0.726255476474762, 0.2367502599954605)","(83.17683410644531, 165.17373657226562, 52.072322845458984)",1,5.7069854736328125,1,"(-144.89208984375, -56.13410949707031, 926.4938354492188)","(0.7180026173591614, 0.5925787687301636, 1.0788673162460327)",1,"(0.740757167339325, 0.33831602334976196)","(88.5079574584961, 145.43801879882812, 44.88914489746094)",1,3.917877197265625,1,"(-86.09846496582031, -64.69092559814453, 934.410888671875)","(0.6267043948173523, 0.6100925207138062, 1.0811927318572998)",1,1706707211765,0.73,0.29
14123227121,14100707320,"(0.724617063999176, 0.25238561630249023)","(82.57453155517578, 162.1355438232422, 50.96652603149414)",1,5.6957855224609375,1,"(-144.4761962890625, -56.20344543457031, 926.9873657226562)","(0.7172462344169617, 0.5926687121391296, 1.0797209739685059)",1,"(0.740757167339325, 0.33831602334976196)","(88.5079574584961, 145.43801879882812, 44.88914489746094)",1,3.917877197265625,1,"(-85.6554183959961, -64.7516860961914, 934.8762817382812)","(0.6259652376174927, 0.6101595163345337, 1.0820449590682983)",1,1706707211775,0.73,0.3
14123238224,14100718423,"(0.7000440359115601, 0.2458520084619522)","(73.54104614257812, 163.40513610839844, 51.42863845825195)",1,5.7010498046875,1,"(-144.41552734375, -56.38167190551758, 927.0281982421875)","(0.7171456813812256, 0.5930294990539551, 1.0798041820526123)",1,"(0.7514230608940125, 0.2784288823604584)","(92.42891693115234, 157.07492065429688, 49.12472152709961)",1,3.89892578125,1,"(-85.6618423461914, -64.95680236816406, 934.9102783203125)","(0.6259729862213135, 0.6105707287788391, 1.0821419954299927)",1,1706707211787,0.73,0.26
14123249327,14100729524,"(0.7000440359115601, 0.2458520084619522)","(73.54104614257812, 163.40513610839844, 51.42863845825195)",1,5.7010498046875,1,"(-144.55245971679688, -56.59504699707031, 927.5146484375)","(0.7172418832778931, 0.5934041738510132, 1.080831527709961)",1,"(0.7410154342651367, 0.3044453263282776)","(88.6028823852539, 152.01954650878906, 47.28471374511719)",1,3.916473388671875,1,"(-85.76232147216797, -65.16844177246094, 935.4064331054688)","(0.6260590553283691, 0.6109288930892944, 1.0831753015518188)",1,1706707211798,0.72,0.28
14123260431,14100740627,"(0.70476233959198, 0.2395072728395462)","(75.27557373046875, 164.63800048828125, 51.87737274169922)",1,5.6958770751953125,1,"(-143.86550903320312, -56.516597747802734, 927.1179809570312)","(0.7162818312644958, 0.5933049917221069, 1.0798288583755493)",1,"(0.7410154342651367, 0.3044453263282776)","(88.6028823852539, 152.01954650878906, 47.28471374511719)",1,3.916473388671875,1,"(-85.10123443603516, -65.08362579345703, 934.9661254882812)","(0.6251137852668762, 0.6108306646347046, 1.082168698310852)",1,1706707211828,0.72,0.27
14123271534,14100751729,"(0.70751953125, 0.2247370332479477)","(76.28914642333984, 167.50802612304688, 52.92206573486328)",1,5.7002716064453125,1,"(-143.91464233398438, -56.6834716796875, 926.9888916015625)","(0.7163903117179871, 0.5936611890792847, 1.0796093940734863)",1,"(0.7551566362380981, 0.3779251277446747)","(93.80144500732422, 137.74136352539062, 42.08782196044922)",1,3.9429473876953125,1,"(-85.25530242919922, -65.28569030761719, 934.8355102539062)","(0.625369131565094, 0.6112558841705322, 1.0819650888442993)",1,1706707211829,0.73,0.3
14123282637,14100762832,"(0.70751953125, 0.2247370332479477)","(76.28914642333984, 167.50802612304688, 52.92206573486328)",1,5.7002716064453125,1,"(-144.02272033691406, -56.955081939697266, 926.7216796875)","(0.7166236639022827, 0.5942476391792297, 1.0791481733322144)",1,"(0.7509360909461975, 0.3573513627052307)","(92.24989318847656, 141.7391357421875, 43.542911529541016)",1,3.9458465576171875,1,"(-85.37450408935547, -65.55030059814453, 934.5784301757812)","(0.6255900859832764, 0.6118265986442566, 1.0815125703811646)",1,1706707211831,0.73,0.29
14123293740,14100773934,"(0.7180899381637573, 0.22414663434028625)","(80.17501831054688, 167.62274169921875, 52.963829040527344)",1,5.7049102783203125,1,"(-143.2419891357422, -56.71519470214844, 926.3388671875)","(0.7155131697654724, 0.5938182473182678, 1.078125238418579)",1,"(0.7509360909461975, 0.3573513627052307)","(92.24989318847656, 141.7391357421875, 43.542911529541016)",1,3.9458465576171875,1,"(-84.62055969238281, -65.30762481689453, 934.1446533203125)","(0.6244993209838867, 0.611409068107605, 1.080480694770813)",1,1706707211846,0.73,0.29
14123304843,14100785037,"(0.7204145789146423, 0.2227707803249359)","(81.02960968017578, 167.89010620117188, 53.0611457824707)",1,5.6949920654296875,1,"(-143.27989196777344, -57.041622161865234, 926.0546264648438)","(0.7156433463096619, 0.5945208668708801, 1.0776156187057495)",1,"(0.7190338969230652, 0.3193821609020233)","(80.5220718383789, 149.11708068847656, 46.22833251953125)",1,3.9228515625,1,"(-84.77149963378906, -65.71051788330078, 933.86328125)","(0.6247737407684326, 0.6122638583183289, 1.0800050497055054)",1,1706707211854,0.72,0.27
14123315946,14100796140,"(0.7204145789146423, 0.2227707803249359)","(81.02960968017578, 167.89010620117188, 53.0611457824707)",1,5.6949920654296875,1,"(-143.67205810546875, -57.465003967285156, 927.4720458984375)","(0.7159128785133362, 0.595204770565033, 1.0805832147598267)",1,"(0.7154905200004578, 0.3468102514743805)","(79.21946716308594, 143.78741455078125, 44.288482666015625)",1,3.9173431396484375,1,"(-85.07244873046875, -66.14888000488281, 935.3069458007812)","(0.6250367164611816, 0.6129435300827026, 1.0829890966415405)",1,1706707211865,0.72,0.28
