device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
8235056963,347789049427,"(0.032846007496118546, 0.21999360620975494)","(-171.73333740234375, 168.42974853515625, 53.257572174072266)",1,3.7980804443359375,1,"(-72.32977294921875, 49.02918243408203, 896.2090454101562)","(0.6088774800300598, 0.37512364983558655, 1.000917673110962)",1,"(0.05908069387078285, 0.20571476221084595)","(-162.08900451660156, 171.20436096191406, 54.267391204833984)",1,3.848907470703125,1,"(-11.58360481262207, 34.9207763671875, 898.4076538085938)","(0.5125511288642883, 0.40637198090553284, 0.9983214139938354)",1,1705936668282,0.05,0.21
8235179097,347789171502,"(0.021479150280356407, 0.21571560204029083)","(-175.91201782226562, 169.2610626220703, 53.560081481933594)",1,3.6847991943359375,1,"(-74.22391510009766, 49.94990539550781, 900.2056884765625)","(0.6113528609275818, 0.37361255288124084, 1.0092811584472656)",1,"(0.03725157305598259, 0.19805710017681122)","(-170.11378479003906, 172.6923370361328, 54.80900192260742)",1,3.7554931640625,1,"(-12.962136268615723, 36.006526947021484, 902.5228881835938)","(0.5146282911300659, 0.40439918637275696, 1.0066677331924438)",1,1705936668403,0.03,0.21
8235190200,347789182603,"(0.011307311244308949, 0.20740026235580444)","(-179.6513671875, 170.87684631347656, 54.1482048034668)",1,3.6666107177734375,1,"(-74.28900146484375, 50.03272247314453, 900.9078979492188)","(0.6113636493682861, 0.37351998686790466, 1.0106983184814453)",1,"(0.04338747635483742, 0.2085876613855362)","(-167.8581085205078, 170.64610290527344, 54.06421661376953)",1,3.73260498046875,1,"(-12.993538856506348, 36.102821350097656, 903.2274169921875)","(0.5146608352661133, 0.4042554497718811, 1.0080840587615967)",1,1705936668414,0.03,0.21
8235201303,347789193705,"(0.007433776743710041, 0.2011737823486328)","(-181.07534790039062, 172.08676147460938, 54.58857345581055)",1,3.650634765625,1,"(-74.21228790283203, 49.99919509887695, 900.3690795898438)","(0.6113126277923584, 0.37352821230888367, 1.0096096992492676)",1,"(0.042522042989730835, 0.20371048152446747)","(-168.17626953125, 171.5937957763672, 54.4091796875)",1,3.7129058837890625,1,"(-12.946709632873535, 36.087745666503906, 902.685546875)","(0.5145992040634155, 0.4042423665523529, 1.0069987773895264)",1,1705936668425,0.02,0.2
8235212406,347789204806,"(0.006319914944469929, 0.1990652233362198)","(-181.48483276367188, 172.49647521972656, 54.737701416015625)",1,3.6321868896484375,1,"(-74.40571594238281, 50.12276077270508, 901.1668090820312)","(0.6115131974220276, 0.37335875630378723, 1.0112427473068237)",1,"(0.04371417686343193, 0.19977565109729767)","(-167.738037109375, 172.35841369628906, 54.68748092651367)",1,3.7096405029296875,1,"(-13.095561027526855, 36.21479797363281, 903.4932861328125)","(0.5148140788078308, 0.4040406346321106, 1.00862717628479)",1,1705936668437,0.03,0.2
8235223510,347789215908,"(0.0009166458039544523, 0.19779664278030396)","(-183.47117614746094, 172.7429656982422, 54.82740020751953)",1,3.6047515869140625,1,"(-74.45944213867188, 50.197349548339844, 901.612548828125)","(0.6115391850471497, 0.37325355410575867, 1.0121469497680664)",1,"(0.03898078575730324, 0.1973416805267334)","(-169.47811889648438, 172.8313751220703, 54.85964584350586)",1,3.68328857421875,1,"(-13.120871543884277, 36.29262924194336, 903.9411010742188)","(0.5148428678512573, 0.40391454100608826, 1.0095289945602417)",1,1705936668448,0.02,0.2
8235234613,347789227010,"(0.0010648437310010195, 0.19694781303405762)","(-183.41668701171875, 172.90789794921875, 54.887428283691406)",1,3.581512451171875,1,"(-74.3514633178711, 50.204673767089844, 901.0684204101562)","(0.6114391088485718, 0.3731755316257477, 1.011047124862671)",1,"(0.035729311406612396, 0.19301219284534454)","(-170.6734161376953, 173.67266845703125, 55.16583251953125)",1,3.6713104248046875,1,"(-13.04008960723877, 36.3081169128418, 903.3907470703125)","(0.5147275924682617, 0.4038369357585907, 1.0084282159805298)",1,1705936668459,0.02,0.19
8235245716,347789238111,"(0.001332241459749639, 0.19679446518421173)","(-183.31838989257812, 172.93771362304688, 54.898258209228516)",1,3.5904998779296875,1,"(-74.52235412597656, 50.398780822753906, 901.8598022460938)","(0.6116036772727966, 0.3728576898574829, 1.012671709060669)",1,"(0.036879196763038635, 0.19537152349948883)","(-170.2506866455078, 173.21421813964844, 54.99896240234375)",1,3.67535400390625,1,"(-13.159486770629883, 36.4956169128418, 904.189208984375)","(0.5148952007293701, 0.40350863337516785, 1.0100421905517578)",1,1705936668470,0.02,0.2
8235256819,347789249213,"(0.0013342763995751739, 0.18816536664962769)","(-183.31764221191406, 174.61444091796875, 55.508575439453125)",1,3.5819854736328125,1,"(-74.52599334716797, 50.4871826171875, 902.2034912109375)","(0.6115636229515076, 0.37271255254745483, 1.0133661031723022)",1,"(0.04321844503283501, 0.19729985296726227)","(-167.92025756835938, 172.83950805664062, 54.86256790161133)",1,3.666656494140625,1,"(-13.14529800415039, 36.58230209350586, 904.5310668945312)","(0.5148639678955078, 0.40335601568222046, 1.0107319355010986)",1,1705936668481,0.02,0.19
8235267922,347789260314,"(0.0006065121851861477, 0.18288953602313995)","(-183.585205078125, 175.63966369628906, 55.881717681884766)",1,3.5889434814453125,1,"(-74.3355484008789, 50.48817443847656, 901.515380859375)","(0.6113521456718445, 0.3726319670677185, 1.0119656324386597)",1,"(0.0423341803252697, 0.20113134384155273)","(-168.24533081054688, 172.09498596191406, 54.59157943725586)",1,3.693023681640625,1,"(-12.986804008483887, 36.587188720703125, 903.8313598632812)","(0.5146299004554749, 0.40328919887542725, 1.0093295574188232)",1,1705936668514,0.02,0.19
8235279025,347789271419,"(-0.0012034752871841192, 0.16727347671985626)","(-184.25057983398438, 178.67408752441406, 56.98617935180664)",1,3.568206787109375,1,"(-74.45906066894531, 50.61717224121094, 902.48095703125)","(0.6114203333854675, 0.37247350811958313, 1.013921856880188)",1,"(0.040045857429504395, 0.2077031433582306)","(-169.08656311035156, 170.81800842285156, 54.126800537109375)",1,3.6845245361328125,1,"(-13.057683944702148, 36.706295013427734, 904.8013305664062)","(0.5147183537483215, 0.40312057733535767, 1.0112794637680054)",1,1705936668514,0.02,0.19
8235290128,347789282527,"(-0.002322126878425479, 0.16464589536190033)","(-184.66183471679688, 179.18466186523438, 57.17201232910156)",1,3.5428314208984375,1,"(-74.40000915527344, 50.684295654296875, 902.9893188476562)","(0.6112605929374695, 0.37239429354667664, 1.014931321144104)",1,"(0.03969455137848854, 0.2043842077255249)","(-169.21571350097656, 171.4629364013672, 54.36149597167969)",1,3.6650848388671875,1,"(-12.970000267028809, 36.761871337890625, 905.30322265625)","(0.5145686268806458, 0.403048574924469, 1.012284278869629)",1,1705936668515,0.02,0.18
8235301231,347789293635,"(-0.0033780415542423725, 0.17131808400154114)","(-185.0500030517578, 177.88816833496094, 56.70012283325195)",1,3.5431976318359375,1,"(-74.16868591308594, 50.660369873046875, 902.3112182617188)","(0.6109835505485535, 0.3723679184913635, 1.013541340827942)",1,"(0.04116960987448692, 0.20753662288188934)","(-168.67344665527344, 170.85035705566406, 54.1385383605957)",1,3.6591339111328125,1,"(-12.768158912658691, 36.73257064819336, 904.6107177734375)","(0.5142666101455688, 0.40305477380752563, 1.0108925104141235)",1,1705936668530,0.02,0.19
8235312335,347789304745,"(-0.0002821321540977806, 0.18421757221221924)","(-183.91188049316406, 175.38160705566406, 55.78779983520508)",1,3.574951171875,1,"(-74.23789978027344, 50.778202056884766, 903.262451171875)","(0.6109685301780701, 0.37223270535469055, 1.0154588222503662)",1,"(0.039223670959472656, 0.18941724300384521)","(-169.38882446289062, 174.3712158203125, 55.42001724243164)",1,3.6416778564453125,1,"(-12.789307594299316, 36.82133865356445, 905.5619506835938)","(0.5142780542373657, 0.4029494822025299, 1.012800931930542)",1,1705936668537,0.02,0.19
8235323438,347789315853,"(-0.00022612309840042144, 0.18154588341712952)","(-183.8912811279297, 175.9007568359375, 55.97671127319336)",1,3.565704345703125,1,"(-74.15304565429688, 50.84457015991211, 903.866455078125)","(0.6107562780380249, 0.3721671998500824, 1.0166544914245605)",1,"(0.03691207617521286, 0.18185380101203918)","(-170.23861694335938, 175.8409423828125, 55.95492172241211)",1,3.6285552978515625,1,"(-12.668201446533203, 36.859588623046875, 906.1569213867188)","(0.5140743851661682, 0.40292251110076904, 1.0139894485473633)",1,1705936668548,0.02,0.18
8235334541,347789326955,"(0.006162768695503473, 0.1831667572259903)","(-181.54261779785156, 175.5858154296875, 55.86207962036133)",1,3.5624542236328125,1,"(-73.89998626708984, 50.80597686767578, 903.3187866210938)","(0.6104283928871155, 0.3721875846385956, 1.0155189037322998)",1,"(0.033654406666755676, 0.18162116408348083)","(-171.43618774414062, 175.88613891601562, 55.971378326416016)",1,3.6381683349609375,1,"(-12.438924789428711, 36.79861068725586, 905.5925903320312)","(0.5137269496917725, 0.40300649404525757, 1.0128506422042847)",1,1705936668559,0.02,0.18
8235345644,347789338058,"(0.006658507045358419, 0.1812550127506256)","(-181.36036682128906, 175.95729064941406, 55.99729537963867)",1,3.55859375,1,"(-73.94413757324219, 50.89354705810547, 903.741455078125)","(0.610442578792572, 0.3720533549785614, 1.0163772106170654)",1,"(0.031886518001556396, 0.18827025592327118)","(-172.0861053466797, 174.59413146972656, 55.50114059448242)",1,3.6446533203125,1,"(-12.456741333007812, 36.85457229614258, 906.0150756835938)","(0.5137453079223633, 0.40292495489120483, 1.0136997699737549)",1,1705936668570,0.02,0.18
8235356747,347789349160,"(0.00410036277025938, 0.1852414906024933)","(-182.30079650878906, 175.18264770507812, 55.7153434753418)",1,3.51678466796875,1,"(-73.9129409790039, 50.942264556884766, 904.3164672851562)","(0.610319197177887, 0.37202057242393494, 1.0175219774246216)",1,"(0.021606866270303726, 0.1924637258052826)","(-175.86508178710938, 173.77923583984375, 55.20460891723633)",1,3.6363372802734375,1,"(-12.385075569152832, 36.864158630371094, 906.5845947265625)","(0.5136206746101379, 0.40295493602752686, 1.0148365497589111)",1,1705936668581,0.01,0.19
8235367850,347789360262,"(0.0016290085623040795, 0.1700299084186554)","(-183.20932006835938, 178.1384735107422, 56.791168212890625)",1,3.5377960205078125,1,"(-73.70797729492188, 50.863765716552734, 903.7772827148438)","(0.6100664734840393, 0.3721247911453247, 1.016406774520874)",1,"(0.014595759101212025, 0.18395590782165527)","(-178.4425048828125, 175.43243408203125, 55.80631637573242)",1,3.578521728515625,1,"(-12.206613540649414, 36.74913024902344, 906.0321044921875)","(0.5133534669876099, 0.40315213799476624, 1.0137184858322144)",1,1705936668593,0.01,0.18
8235378953,347789371364,"(-0.002183511620387435, 0.1726471334695816)","(-184.61087036132812, 177.62991333007812, 56.606048583984375)",1,3.497467041015625,1,"(-73.72476959228516, 50.63413619995117, 904.086181640625)","(0.6100566387176514, 0.3726436495780945, 1.016998529434204)",1,"(0.01941145583987236, 0.19187279045581818)","(-176.6721649169922, 173.89405822753906, 55.24638748168945)",1,3.585845947265625,1,"(-12.201683044433594, 36.5297737121582, 906.3457641601562)","(0.5133424401283264, 0.40363839268684387, 1.0143274068832397)",1,1705936668604,0.01,0.18
8235390056,347789382467,"(-0.008275136351585388, 0.30167704820632935)","(-186.85025024414062, 152.55746459960938, 47.48051834106445)",1,3.2592010498046875,1,"(-73.17984008789062, 50.635955810546875, 903.3294067382812)","(0.6092945337295532, 0.3725601136684418, 1.015404462814331)",1,"(0.030741704627871513, 0.20108669996261597)","(-172.50694274902344, 172.10365295410156, 54.594749450683594)",1,3.563690185546875,1,"(-11.585740089416504, 36.4338493347168, 905.5504760742188)","(0.512391984462738, 0.4037839472293854, 1.0127143859863281)",1,1705936668615,0.01,0.25
8235401160,347789393572,"(0.00985343661159277, 0.38855987787246704)","(-180.18585205078125, 135.6748504638672, 41.335750579833984)",1,3.16131591796875,1,"(-73.50530242919922, 50.76620864868164, 902.657958984375)","(0.6098912358283997, 0.3721995949745178, 1.0141351222991943)",1,"(0.034071195870637894, 0.2089262455701828)","(-171.282958984375, 170.58029174804688, 54.040313720703125)",1,3.578369140625,1,"(-11.956514358520508, 36.504032135009766, 904.8980102539062)","(0.512986958026886, 0.4035743772983551, 1.0114258527755737)",1,1705936668651,0.02,0.3
8235412263,347789404675,"(0.00985343661159277, 0.38855987787246704)","(-180.18585205078125, 135.6748504638672, 41.335750579833984)",1,3.16131591796875,1,"(-73.50729370117188, 50.75929260253906, 902.6575927734375)","(0.6098945736885071, 0.37221410870552063, 1.0141340494155884)",1,"(0.03647512197494507, 0.21305392682552338)","(-170.39923095703125, 169.77821350097656, 53.74839782714844)",1,3.542633056640625,1,"(-11.954526901245117, 36.51095199584961, 904.8983764648438)","(0.5129837393760681, 0.4035598933696747, 1.0114271640777588)",1,1705936668651,0.02,0.3
8235423366,347789415779,"(0.061980295926332474, 0.5019391775131226)","(-161.0230255126953, 113.64356994628906, 33.31697463989258)",1,3.2134552001953125,1,"(-72.96976470947266, 50.03269577026367, 901.7564086914062)","(0.6091712713241577, 0.3736461102962494, 1.0121725797653198)",1,"(0.02063235081732273, 0.30931535363197327)","(-176.22332763671875, 151.07322692871094, 46.94027328491211)",1,3.24395751953125,1,"(-11.607105255126953, 35.90046691894531, 903.976318359375)","(0.5124641060829163, 0.40477022528648376, 1.0095267295837402)",1,1705936668652,0.04,0.41
8235434469,347789426882,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-72.16938781738281, 48.276153564453125, 901.8880004882812)","(0.6079158186912537, 0.3773747384548187, 1.0121158361434937)",1,"(0.03459307551383972, 0.3478020131587982)","(-171.0911102294922, 143.59471130371094, 44.21828842163086)",1,3.1453704833984375,1,"(-10.805279731750488, 34.18075942993164, 904.0819091796875)","(0.5112243294715881, 0.40840524435043335, 1.009584665298462)",1,1705936668658,0.03459307551383972,0.3478020131587982
8235445572,347789437985,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-75.78982543945312, 47.58087921142578, 901.6278076171875)","(0.6136741042137146, 0.37873896956443787, 1.0121155977249146)",1,"(0.03459307551383972, 0.3478020131587982)","(-171.0911102294922, 143.59471130371094, 44.21828842163086)",1,3.1453704833984375,1,"(-14.428268432617188, 33.50033187866211, 904.0816040039062)","(0.5169382691383362, 0.40976399183273315, 1.009634256362915)",1,1705936668669,0.03459307551383972,0.3478020131587982
8235456675,347789449087,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-74.15563201904297, 48.61567687988281, 901.7330322265625)","(0.6110660433769226, 0.3766038119792938, 1.0121644735336304)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-12.638930320739746, 34.80122375488281, 904.0709228515625)","(0.514102578163147, 0.4070662558078766, 1.009657621383667)",1,1705936668681
8235467778,347789460189,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-75.43504333496094, 47.45841979980469, 901.6618041992188)","(0.6131112575531006, 0.3790075182914734, 1.0121111869812012)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-13.61900520324707, 33.81064224243164, 904.116455078125)","(0.5156588554382324, 0.4091308116912842, 1.0097018480300903)",1,1705936668691
8235478881,347789471291,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-73.216064453125, 46.902034759521484, 901.8684692382812)","(0.6095893979072571, 0.3802448809146881, 1.0121005773544312)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-11.177762985229492, 33.369110107421875, 904.18505859375)","(0.5118204951286316, 0.4101102352142334, 1.0097392797470093)",1,1705936668702
8235489985,347789482395,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-72.38416290283203, 46.58081817626953, 901.9480590820312)","(0.6082708835601807, 0.3809458911418915, 1.012092113494873)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-10.228238105773926, 33.189029693603516, 904.2183227539062)","(0.5103277564048767, 0.4105091392993927, 1.0097700357437134)",1,1705936668713
8235501088,347789493500,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-72.77864837646484, 46.862060546875, 901.8856811523438)","(0.6088973879814148, 0.3803393840789795, 1.012060284614563)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-10.499529838562012, 33.54416275024414, 904.1834716796875)","(0.5107503533363342, 0.409755676984787, 1.0097328424453735)",1,1705936668724
8235512191,347789504604,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-73.2049789428711, 46.49690628051758, 901.8660278320312)","(0.6095778942108154, 0.38109761476516724, 1.0120521783828735)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-10.792396545410156, 33.26632308959961, 904.2036743164062)","(0.5112150311470032, 0.41033488512039185, 1.0097596645355225)",1,1705936668734
8235523294,347789515710,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-73.27450561523438, 46.31184387207031, 901.8592529296875)","(0.6096910834312439, 0.38148507475852966, 1.0120309591293335)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-10.738314628601074, 33.18149948120117, 904.2095947265625)","(0.5111309289932251, 0.4105144441127777, 1.0097639560699463)",1,1705936668745
8235534397,347789526815,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-74.8329849243164, 46.11628723144531, 901.7373046875)","(0.6121695637702942, 0.38185328245162964, 1.0120230913162231)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-12.011164665222168, 33.10524368286133, 904.2079467773438)","(0.5131358504295349, 0.4106498658657074, 1.0097869634628296)",1,1705936668757
8235545500,347789537920,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-73.22915649414062, 45.95010757446289, 901.8751220703125)","(0.6096225380897522, 0.3822491466999054, 1.0120184421539307)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-10.378218650817871, 33.058128356933594, 904.240234375)","(0.5105653405189514, 0.41078272461891174, 1.0098075866699219)",1,1705936668798
8235556603,347789549023,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-74.4469985961914, 45.87345886230469, 901.775634765625)","(0.6115586757659912, 0.38237613439559937, 1.0120110511779785)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-11.436689376831055, 33.09687805175781, 904.2337646484375)","(0.5122311115264893, 0.41068047285079956, 1.009822964668274)",1,1705936668798
8235567706,347789560125,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-74.78624725341797, 45.81645965576172, 901.7393188476562)","(0.6120997071266174, 0.38248562812805176, 1.011988878250122)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-11.626343727111816, 33.14599609375, 904.2279663085938)","(0.5125290751457214, 0.410573273897171, 1.0098199844360352)",1,1705936668798
8235578810,347789571229,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-76.35964965820312, 45.36528778076172, 901.6218872070312)","(0.6146053671836853, 0.38339242339134216, 1.011972188949585)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1705936668800
8235589913,347789582331,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-78.49578857421875, 45.070072174072266, 901.4470825195312)","(0.6180059313774109, 0.3839540183544159, 1.0119599103927612)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1705936668814
8235601016,347789593435,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-78.60100555419922, 45.03437805175781, 901.4386596679688)","(0.6181737184524536, 0.3840262293815613, 1.0119580030441284)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1705936668822
8235612119,347789604540,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-79.98180389404297, 45.65232849121094, 901.2930297851562)","(0.6203658580780029, 0.38268235325813293, 1.0119717121124268)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1705936668833
8235623222,347789615646,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-80.28197479248047, 46.36137390136719, 901.2391357421875)","(0.6208376288414001, 0.3811770975589752, 1.0119895935058594)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1705936668845
8235634325,347789626753,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-80.52447509765625, 46.442386627197266, 901.2130126953125)","(0.6212232112884521, 0.3809989094734192, 1.011988878250122)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1705936668856
8235645428,347789637859,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-81.20989227294922, 44.73899841308594, 901.2111206054688)","(0.6223297715187073, 0.38457366824150085, 1.0119361877441406)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1705936668867
