pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
-818816.820224,85,1,0.7831990122795105,0.4219316647369248,0.6192398635541936,54.66828136287979,pye3d 0.3.0 real-time,135.01813271581594,91.38243274699353,42.00449203872611,54.66828136287979,78.95424605220252,2.133864849489949,1.0,,-1.213702582923495,-1.3030058529440691,26.24373580578588,10.392304845413264,-2.2668910818885815,-8.693906533990438,19.014255803146963,-0.10134311056415175,-0.7111897496259849,-0.6956570376040992,1.0669324247449745,2.3619854796339252,-1.7154583905832295,144.11021996134147,103.07385158039781,326.1908799198818,326.1908799198818,0.0
-818816.812222,85,1,0.839078426361084,0.42174769945748236,0.6203771415876356,55.1373461818621,pye3d 0.3.0 real-time,134.95926382639436,91.10948601896746,42.30632456005422,55.1373461818621,78.96377483031787,2.1516264982000592,1.0,,-1.213702582923495,-1.3030058529440691,26.24373580578588,10.392304845413264,-2.2682061834463,-8.702290414095618,19.023028767026535,-0.1014696562705452,-0.7119964888652481,-0.6948128587611889,1.0758132491000296,2.363133713108718,-1.715810035457297,144.11021996134147,103.07385158039781,326.1908799198818,326.1908799198818,0.0
-818816.812222,85,1,0.839078426361084,0.4217213153839111,0.6203365961710612,55.14252471923828,2d c++,134.95082092285156,91.11921691894531,41.77851486206055,55.14252471923828,79.43394470214847,,,,,,,,,,,,,,,,,,,,,
-818816.80423,85,1,0.752758800983429,0.4217095851898193,0.6181096394856771,54.722076416015625,2d c++,134.9470672607422,91.6536865234375,43.179656982421875,54.722076416015625,79.1946105957031,,,,,,,,,,,,,,,,,,,,,
-818816.80423,85,1,0.752758800983429,0.42173718151767037,0.6180300850165974,54.72554140362481,pye3d 0.3.0 real-time,134.95589808565452,91.67277959601662,42.141063965383296,54.72554140362481,78.89539879760031,2.1367795327329584,1.0,,-1.213702582923495,-1.3030058529440691,26.24373580578588,10.392304845413264,-2.266918456310207,-8.673600273605363,18.99355827622408,-0.1013457446691008,-0.7092357788093919,-0.697648658060847,1.0683897663664792,2.3592098984144516,-1.7150548259562106,144.11021996134147,103.07385158039781,326.1908799198818,326.1908799198818,0.0
-818816.79225,86,1,0.0,0.0,1.0,0.0,pye3d 0.3.0 real-time,0.0,0.0,0.0,0.0,0.0,0.017834292885305025,0.1,,-1.213702582923495,-1.3030058529440691,26.24373580578588,10.392304845413264,-1.3331152034789966,-1.4208776939879437,15.852785567470765,-0.011490484770392915,-0.011342223192759626,-0.9998696528712064,0.008917146442652513,1.582138793190394,-1.5822878036535375,144.11021996134147,103.07385158039781,326.1908799198818,326.1908799198818,0.0
-818816.79225,86,1,0.5659267902374268,0.4217851638793945,0.618346913655599,54.938987731933594,2d c++,134.97125244140625,91.59674072265625,43.1015625,54.938987731933594,79.93180847167969,,,,,,,,,,,,,,,,,,,,,
-818816.784276,86,1,0.5316358804702759,0.4225921630859375,0.6172496795654296,54.702484130859375,2d c++,135.2294921875,91.86007690429688,44.02829360961914,54.702484130859375,79.90222930908206,,,,,,,,,,,,,,,,,,,,,
-818816.784276,86,1,0.0,0.0,1.0,0.0,pye3d 0.3.0 real-time,0.0,0.0,0.0,0.0,0.0,0.017834292885305025,0.1,,-1.213702582923495,-1.3030058529440691,26.24373580578588,10.392304845413264,-1.3331152034789966,-1.4208776939879437,15.852785567470765,-0.011490484770392915,-0.011342223192759626,-0.9998696528712064,0.008917146442652513,1.582138793190394,-1.5822878036535375,144.11021996134147,103.07385158039781,326.1908799198818,326.1908799198818,0.0
-818816.776177,86,1,0.6075264811515808,0.4217175006866455,0.615903123219808,55.72764205932617,2d c++,134.94960021972656,92.1832504272461,44.38993453979492,55.72764205932617,78.5467300415039,,,,,,,,,,,,,,,,,,,,,
