device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
24500239543,2095528957210,"(0.6286930441856384, 0.40999075770378113)","(47.31105422973633, 131.51052856445312, 39.82003402709961)",1,3.73736572265625,1,"(-123.5251693725586, 129.338623046875, 820.1279296875)","(0.7071456909179688, 0.17827197909355164, 0.8788051605224609)",1,"(0.7383198142051697, 0.7470408082008362)","(87.61193084716797, 66.01669311523438, 15.982213973999023)",1,3.595123291015625,1,"(-62.6393928527832, 113.6017074584961, 824.736328125)","(0.6010611057281494, 0.21750402450561523, 0.8697533011436462)",1,1704723778874,0.68,0.58
24500250646,2095528968301,"(0.6293327808380127, 0.404448539018631)","(47.54624557495117, 132.5874786376953, 40.212005615234375)",1,3.7317352294921875,1,"(-123.38521575927734, 129.26614379882812, 820.3270874023438)","(0.7068520784378052, 0.1785162091255188, 0.8791309595108032)",1,"(0.7401055097579956, 0.7475519776344299)","(88.26837158203125, 65.9173812866211, 15.946077346801758)",1,3.5934906005859375,1,"(-62.48263168334961, 113.54362487792969, 824.9287719726562)","(0.6007665991783142, 0.2177024781703949, 0.8700942397117615)",1,1704723778888,0.68,0.58
24500261750,2095528979393,"(0.633640706539154, 0.4055050015449524)","(49.12992858886719, 132.3821563720703, 40.13727951049805)",1,3.72503662109375,1,"(-123.19823455810547, 129.36309814453125, 820.208740234375)","(0.7065567374229431, 0.1782519817352295, 0.878874659538269)",1,"(0.7448881268501282, 0.7456263303756714)","(90.02651977539062, 66.29155731201172, 16.082275390625)",1,3.590576171875,1,"(-62.30991744995117, 113.62185668945312, 824.7915649414062)","(0.6004848480224609, 0.21748220920562744, 0.8698186278343201)",1,1704723778897,0.69,0.58
24500272853,2095528990482,"(0.6286622285842896, 0.3935973346233368)","(47.29975509643555, 134.6959991455078, 40.97944641113281)",1,3.7172393798828125,1,"(-123.00281524658203, 129.36683654785156, 820.2163696289062)","(0.7062153816223145, 0.1782502830028534, 0.8788332343101501)",1,"(0.7444170117378235, 0.7507545351982117)","(89.85336303710938, 65.29507446289062, 15.719549179077148)",1,3.5704193115234375,1,"(-62.11919403076172, 113.61203002929688, 824.7822875976562)","(0.6001569032669067, 0.21750590205192566, 0.8697691559791565)",1,1704723778908,0.69,0.57
24500283956,2095529001573,"(0.629625678062439, 0.3918258547782898)","(47.65395736694336, 135.0402069091797, 41.10472869873047)",1,3.741851806640625,1,"(-122.84037017822266, 129.3871612548828, 820.3158569335938)","(0.7059073448181152, 0.17824335396289825, 0.8789865970611572)",1,"(0.7428727746009827, 0.7486997842788696)","(89.2856674194336, 65.69434356689453, 15.864873886108398)",1,3.5651092529296875,1,"(-61.95562744140625, 113.61553955078125, 824.866455078125)","(0.5998637080192566, 0.2175281047821045, 0.8699122071266174)",1,1704723778919,0.69,0.57
24500295059,2095529012678,"(0.6279831528663635, 0.3938247859477997)","(47.05011749267578, 134.6517791748047, 40.96337890625)",1,3.7431182861328125,1,"(-122.65794372558594, 129.3411865234375, 820.1090087890625)","(0.7056446075439453, 0.17827747762203217, 0.8785147666931152)",1,"(0.7406879663467407, 0.748765230178833)","(88.4825210571289, 65.68162536621094, 15.860250473022461)",1,3.5593414306640625,1,"(-61.79738235473633, 113.55821228027344, 824.6447143554688)","(0.5996195673942566, 0.21759280562400818, 0.8694349527359009)",1,1704723778929,0.68,0.57
24500306162,2095529023783,"(0.6321954131126404, 0.3991101384162903)","(48.59861373901367, 133.62477111816406, 40.58955383300781)",1,3.743865966796875,1,"(-122.4913558959961, 129.31808471679688, 820.0718994140625)","(0.7053651213645935, 0.17832089960575104, 0.8783864974975586)",1,"(0.7393695116043091, 0.7446993589401245)","(87.997802734375, 66.4716567993164, 16.14785385131836)",1,3.5490264892578125,1,"(-61.638153076171875, 113.52200317382812, 824.5933837890625)","(0.599351704120636, 0.2176632285118103, 0.8693001866340637)",1,1704723778940,0.69,0.57
24500317265,2095529034888,"(0.630731463432312, 0.40791165828704834)","(48.0604362487793, 131.91448974609375, 39.96707534790039)",1,3.7289276123046875,1,"(-122.31083679199219, 129.27874755859375, 819.9827880859375)","(0.7050750851631165, 0.17838303744792938, 0.8781474828720093)",1,"(0.7382510304450989, 0.7467508912086487)","(87.58662414550781, 66.0730209350586, 16.002748489379883)",1,3.5626983642578125,1,"(-61.46932601928711, 113.47228240966797, 824.4898071289062)","(0.5990740656852722, 0.21774838864803314, 0.8690571188926697)",1,1704723778951,0.68,0.58
24500328368,2095529045992,"(0.634084939956665, 0.4038403332233429)","(49.29323959350586, 132.70562744140625, 40.25501251220703)",1,3.7294921875,1,"(-122.12577819824219, 129.23202514648438, 819.8258056640625)","(0.7047945857048035, 0.17843738198280334, 0.877772331237793)",1,"(0.7390667200088501, 0.7466536164283752)","(87.88650512695312, 66.09192657470703, 16.009618759155273)",1,3.5568695068359375,1,"(-61.3072509765625, 113.41154479980469, 824.3170776367188)","(0.5988168716430664, 0.21783673763275146, 0.8686754107475281)",1,1704723778963,0.69,0.58
24500339471,2095529057097,"(0.6315996646881104, 0.4051949083805084)","(48.379634857177734, 132.44239807128906, 40.15924072265625)",1,3.7252197265625,1,"(-121.93860626220703, 129.2175750732422, 819.8399658203125)","(0.7044661045074463, 0.17848007380962372, 0.8777410984039307)",1,"(0.7402846217155457, 0.7484384179115295)","(88.334228515625, 65.74512481689453, 15.883370399475098)",1,3.5526123046875,1,"(-61.12649154663086, 113.38623046875, 824.3155517578125)","(0.5985051989555359, 0.2178983986377716, 0.8686389327049255)",1,1704723778974,0.69,0.58
24500350575,2095529068199,"(0.6319105625152588, 0.4011403024196625)","(48.493934631347656, 133.23025512695312, 40.44600296020508)",1,3.7318267822265625,1,"(-121.76998138427734, 129.20376586914062, 819.8583374023438)","(0.7041686773300171, 0.17852243781089783, 0.877723753452301)",1,"(0.7458879947662354, 0.7483234405517578)","(90.39413452148438, 65.76747131347656, 15.89151668548584)",1,3.5291595458984375,1,"(-60.96379470825195, 113.3619384765625, 824.319580078125)","(0.5982239842414856, 0.21795912086963654, 0.8686164617538452)",1,1704723779005,0.69,0.57
24500361678,2095529079299,"(0.6298828125, 0.3972611427307129)","(47.74848556518555, 133.9840545654297, 40.72036361694336)",1,3.728363037109375,1,"(-121.5848388671875, 129.17539978027344, 819.7559204101562)","(0.7038736343383789, 0.17855435609817505, 0.8774610757827759)",1,"(0.7441725730895996, 0.7518821358680725)","(89.76348876953125, 65.07597351074219, 15.639836311340332)",1,3.531341552734375,1,"(-60.80006790161133, 113.32417297363281, 824.20166015625)","(0.5979564785957336, 0.21801204979419708, 0.8683493733406067)",1,1704723779006,0.69,0.57
24500372781,2095529090399,"(0.6273858547210693, 0.39192575216293335)","(46.830562591552734, 135.02081298828125, 41.09764862060547)",1,3.70733642578125,1,"(-121.39765930175781, 129.19544982910156, 819.9893188476562)","(0.7034886479377747, 0.1785978525876999, 0.8778692483901978)",1,"(0.7419787049293518, 0.7576289772987366)","(88.95700073242188, 63.959285736083984, 15.233383178710938)",1,3.5292510986328125,1,"(-60.60572814941406, 113.33521270751953, 824.4187622070312)","(0.5975934267044067, 0.21805989742279053, 0.86875319480896)",1,1704723779007,0.68,0.57
24500383884,2095529101498,"(0.6273733973503113, 0.3942505717277527)","(46.82596206665039, 134.56906127929688, 40.9332160949707)",1,3.710174560546875,1,"(-121.24320983886719, 129.2194061279297, 820.1973266601562)","(0.703167200088501, 0.17862224578857422, 0.8782384991645813)",1,"(0.7379220724105835, 0.7610405683517456)","(87.4657211303711, 63.296329498291016, 14.992085456848145)",1,3.53387451171875,1,"(-60.446868896484375, 113.35078430175781, 824.61279296875)","(0.5972946286201477, 0.21808913350105286, 0.8691176772117615)",1,1704723779021,0.68,0.58
24500394987,2095529112599,"(0.6243921518325806, 0.39904141426086426)","(45.729984283447266, 133.63815307617188, 40.5943717956543)",1,3.7155914306640625,1,"(-121.064453125, 129.19461059570312, 820.04443359375)","(0.702895998954773, 0.17862723767757416, 0.8778805136680603)",1,"(0.7352023720741272, 0.7570940852165222)","(86.4659194946289, 64.06318664550781, 15.271183967590332)",1,3.52789306640625,1,"(-60.294246673583984, 113.31538391113281, 824.444580078125)","(0.5970525145530701, 0.21812036633491516, 0.8687535524368286)",1,1704723779030,0.68,0.58
24500406090,2095529123703,"(0.6270841360092163, 0.3980892300605774)","(46.71958923339844, 133.8231658935547, 40.6617546081543)",1,3.710235595703125,1,"(-120.88118743896484, 129.23260498046875, 820.2272338867188)","(0.7025307416915894, 0.17861036956310272, 0.878196656703949)",1,"(0.7367532849311829, 0.7517547607421875)","(87.03601837158203, 65.1007080078125, 15.648812294006348)",1,3.5166473388671875,1,"(-60.10786819458008, 113.34170532226562, 824.610595703125)","(0.5967096090316772, 0.21811650693416595, 0.8690618872642517)",1,1704723779040,0.68,0.57
24500417193,2095529134807,"(0.627159595489502, 0.3927392363548279)","(46.747337341308594, 134.86276245117188, 41.04013442993164)",1,3.6886444091796875,1,"(-120.77610778808594, 129.1311798095703, 820.3861694335938)","(0.7023096084594727, 0.17890600860118866, 0.8784459233283997)",1,"(0.7394587993621826, 0.7437427639961243)","(88.0306625366211, 66.65756225585938, 16.215469360351562)",1,3.515380859375,1,"(-59.98866271972656, 113.25587463378906, 824.7661743164062)","(0.5964858531951904, 0.21836623549461365, 0.8693288564682007)",1,1704723779051,0.68,0.57
24500428296,2095529145912,"(0.6336913108825684, 0.3908553421497345)","(49.14853286743164, 135.22882080078125, 41.17338562011719)",1,3.665863037109375,1,"(-120.51486206054688, 129.22825622558594, 820.21142578125)","(0.7018988132476807, 0.17862242460250854, 0.8780590891838074)",1,"(0.7415201663970947, 0.7426588535308838)","(88.78844451904297, 66.86815643310547, 16.292150497436523)",1,3.509979248046875,1,"(-59.75965118408203, 113.328857421875, 824.5652465820312)","(0.5961140394210815, 0.21813902258872986, 0.8689188361167908)",1,1704723779063,0.69,0.57
24500439400,2095529157017,"(0.6334198117256165, 0.40049269795417786)","(49.04874801635742, 133.35614013671875, 40.491783142089844)",1,3.6622314453125,1,"(-120.29352569580078, 129.21897888183594, 820.1688232421875)","(0.7015253901481628, 0.178632915019989, 0.8779094219207764)",1,"(0.7410120964050293, 0.7374749183654785)","(88.60169982910156, 67.87548828125, 16.65872573852539)",1,3.5089111328125,1,"(-59.56013870239258, 113.2977523803711, 824.5020141601562)","(0.5957777500152588, 0.21819481253623962, 0.8687568306922913)",1,1704723779074,0.69,0.57
24500450503,2095529168121,"(0.6334198117256165, 0.40049269795417786)","(49.04874801635742, 133.35614013671875, 40.491783142089844)",1,3.6622314453125,1,"(-120.21558380126953, 129.07594299316406, 820.2796020507812)","(0.7013642191886902, 0.17900675535202026, 0.8780596852302551)",1,"(0.7401918172836304, 0.738663911819458)","(88.30011749267578, 67.64447021484375, 16.574634552001953)",1,3.5062255859375,1,"(-59.47152328491211, 113.16911315917969, 824.6118774414062)","(0.5956131815910339, 0.21852803230285645, 0.8689264059066772)",1,1704723779085,0.69,0.57
