device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
3218843454,2163308522317,"(0.7876267433166504, 0.7110450863838196)","(105.73808288574219, 73.01121520996094, 18.528030395507812)",1,4.9192047119140625,1,"(-76.370361328125, 33.95457458496094, 871.5477294921875)","(0.6189250946044922, 0.4048992395401001, 0.9510920643806458)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1704791557245,0.7876267433166504,0.7110450863838196
3269534221,2163359213510,"(0.7800078392028809, 0.45892268419265747)","(102.93720245361328, 122.00233459472656, 36.35926055908203)",1,4.4105377197265625,1,"(-53.864219665527344, 74.56753540039062, 857.048095703125)","(0.5830469727516174, 0.31410863995552063, 0.9239410161972046)",1,"(0.7717927694320679, 0.5573320984840393)","(99.91722106933594, 102.87992095947266, 29.39933204650879)",1,4.62939453125,1,"(-3.117666006088257, 57.86711120605469, 857.4481201171875)","(0.49900004267692566, 0.35220274329185486, 0.9188084602355957)",1,1704791607968,0.78,0.51
3269545324,2163359224613,"(0.7789726853370667, 0.4574354887008667)","(102.55668640136719, 122.29129791259766, 36.464481353759766)",1,4.395751953125,1,"(-55.56538772583008, 74.37432098388672, 859.2737426757812)","(0.5856395959854126, 0.3149319589138031, 0.92854905128479)",1,"(0.7681439518928528, 0.552734375)","(98.57582092285156, 103.77332305908203, 29.724477767944336)",1,4.6063232421875,1,"(-5.423616409301758, 57.08302688598633, 859.7344360351562)","(0.5028188228607178, 0.35422858595848083, 0.9232890605926514)",1,1704791607969,0.77,0.51
3269556427,2163359235716,"(0.7707962393760681, 0.4670470952987671)","(99.5508804321289, 120.42363739013672, 35.78470993041992)",1,4.35955810546875,1,"(-55.43303298950195, 74.8011474609375, 857.3035278320312)","(0.5856225490570068, 0.3136087954044342, 0.9246881008148193)",1,"(0.7695936560630798, 0.5538064241409302)","(99.10877990722656, 103.56500244140625, 29.64864730834961)",1,4.586944580078125,1,"(-5.757809162139893, 57.146812438964844, 857.7213134765625)","(0.5033916234970093, 0.3537844121456146, 0.9192844033241272)",1,1704791607969,0.77,0.51
3269567530,2163359246819,"(0.7692921161651611, 0.4695363938808441)","(98.99789428710938, 119.93994903564453, 35.60865783691406)",1,4.374755859375,1,"(-55.34184646606445, 75.35342407226562, 857.64501953125)","(0.5854267477989197, 0.3124542236328125, 0.9254516363143921)",1,"(0.7684043049812317, 0.5601171255111694)","(98.67153930664062, 102.33873748779297, 29.202342987060547)",1,4.6029815673828125,1,"(-5.923616409301758, 57.40982437133789, 858.0244140625)","(0.5036596059799194, 0.35324376821517944, 0.9199265241622925)",1,1704791607971,0.77,0.51
3269578633,2163359257923,"(0.7689779996871948, 0.47799256443977356)","(98.8824234008789, 118.29676055908203, 35.01063919067383)",1,4.37896728515625,1,"(-55.30366897583008, 75.93162536621094, 859.0155639648438)","(0.5852101445198059, 0.3114447593688965, 0.9282729625701904)",1,"(0.7772567868232727, 0.5542525053024292)","(101.92585754394531, 103.47833251953125, 29.617088317871094)",1,4.610595703125,1,"(-6.011685371398926, 57.73609924316406, 859.362060546875)","(0.5037866234779358, 0.3527190387248993, 0.9226406216621399)",1,1704791607988,0.77,0.52
3269589736,2163359269026,"(0.7711283564567566, 0.47469693422317505)","(99.67295837402344, 118.9371337890625, 35.24371337890625)",1,4.381256103515625,1,"(-55.16143035888672, 76.19729614257812, 857.4268798828125)","(0.5851378440856934, 0.31054607033729553, 0.9251430630683899)",1,"(0.7760369181632996, 0.5471640229225159)","(101.47740936279297, 104.85572052001953, 30.11842918395996)",1,4.6179656982421875,1,"(-6.04164457321167, 57.82561492919922, 857.746826171875)","(0.5038520693778992, 0.35227978229522705, 0.9194300770759583)",1,1704791607993,0.77,0.51
3269600839,2163359280129,"(0.7689664959907532, 0.48168906569480896)","(98.87821960449219, 117.57843780517578, 34.74919891357422)",1,4.3835601806640625,1,"(-55.02269744873047, 76.54200744628906, 857.2843627929688)","(0.5849173069000244, 0.3097570538520813, 0.9249030947685242)",1,"(0.7753491401672363, 0.5390248894691467)","(101.22460174560547, 106.43727111816406, 30.694055557250977)",1,4.601287841796875,1,"(-5.975224494934082, 57.99872970581055, 857.5767211914062)","(0.5037409663200378, 0.35187244415283203, 0.919113039970398)",1,1704791608004,0.77,0.51
3269611942,2163359291232,"(0.7677465677261353, 0.48123839497566223)","(98.42977905273438, 117.66602325439453, 34.78104782104492)",1,4.387054443359375,1,"(-54.906219482421875, 76.89505004882812, 857.5165405273438)","(0.5846942663192749, 0.30902376770973206, 0.9254125952720642)",1,"(0.7725566029548645, 0.5450459122657776)","(100.19801330566406, 105.26732635498047, 30.268186569213867)",1,4.589080810546875,1,"(-5.889502048492432, 58.19304656982422, 857.783203125)","(0.5035935640335083, 0.3514750301837921, 0.9195500612258911)",1,1704791608016,0.77,0.51
3269623046,2163359302336,"(0.7635971903800964, 0.48041483759880066)","(96.90437316894531, 117.82606506347656, 34.83930206298828)",1,4.39501953125,1,"(-54.87736511230469, 77.25050354003906, 858.2557373046875)","(0.584563672542572, 0.3083854615688324, 0.9269418716430664)",1,"(0.7698730826377869, 0.5484486222267151)","(99.21145629882812, 104.60614013671875, 30.02754020690918)",1,4.5939178466796875,1,"(-5.8439621925354, 58.40007019042969, 858.502685546875)","(0.5035074949264526, 0.3511260747909546, 0.9210131764411926)",1,1704791608027,0.77,0.51
3269634149,2163359313439,"(0.7457297444343567, 0.4778347611427307)","(90.33596801757812, 118.3274154663086, 35.02177429199219)",1,4.408111572265625,1,"(-54.84822463989258, 77.81615447998047, 856.7110595703125)","(0.5846689343452454, 0.30682194232940674, 0.9239692091941833)",1,"(0.7719407081604004, 0.5500691533088684)","(99.9715805053711, 104.29124450683594, 29.91291046142578)",1,4.5963134765625,1,"(-5.862232208251953, 59.00782775878906, 856.9468994140625)","(0.5035445690155029, 0.3495444357395172, 0.9179921746253967)",1,1704791608037,0.76,0.51
